Height (m)  50th percentile dynamic pressure (Pa)  84th percentile dynamic pressure (Pa)  16th percentile dynamic pressure (Pa)
    2.200              0.3341E+03                             0.7909E+03                             0.1195E+03
    2.210              0.3344E+03                             0.7916E+03                             0.1196E+03
    2.220              0.3348E+03                             0.7923E+03                             0.1197E+03
    2.230              0.3351E+03                             0.7930E+03                             0.1198E+03
    2.240              0.3354E+03                             0.7937E+03                             0.1199E+03
    2.250              0.3357E+03                             0.7944E+03                             0.1201E+03
    2.260              0.3360E+03                             0.7951E+03                             0.1202E+03
    2.270              0.3363E+03                             0.7958E+03                             0.1203E+03
    2.280              0.3366E+03                             0.7965E+03                             0.1204E+03
    2.290              0.3369E+03                             0.7972E+03                             0.1205E+03
    2.300              0.3372E+03                             0.7979E+03                             0.1207E+03
    2.310              0.3376E+03                             0.7985E+03                             0.1208E+03
    2.320              0.3379E+03                             0.7992E+03                             0.1209E+03
    2.330              0.3382E+03                             0.7999E+03                             0.1210E+03
    2.340              0.3385E+03                             0.8006E+03                             0.1211E+03
    2.350              0.3388E+03                             0.8013E+03                             0.1212E+03
    2.360              0.3391E+03                             0.8019E+03                             0.1214E+03
    2.370              0.3394E+03                             0.8026E+03                             0.1215E+03
    2.380              0.3397E+03                             0.8033E+03                             0.1216E+03
    2.390              0.3400E+03                             0.8039E+03                             0.1217E+03
    2.400              0.3403E+03                             0.8046E+03                             0.1218E+03
    2.410              0.3406E+03                             0.8053E+03                             0.1219E+03
    2.420              0.3409E+03                             0.8059E+03                             0.1220E+03
    2.430              0.3411E+03                             0.8066E+03                             0.1221E+03
    2.440              0.3414E+03                             0.8072E+03                             0.1223E+03
    2.450              0.3417E+03                             0.8079E+03                             0.1224E+03
    2.460              0.3420E+03                             0.8085E+03                             0.1225E+03
    2.470              0.3423E+03                             0.8092E+03                             0.1226E+03
    2.480              0.3426E+03                             0.8098E+03                             0.1227E+03
    2.490              0.3429E+03                             0.8105E+03                             0.1228E+03
    2.500              0.3432E+03                             0.8111E+03                             0.1229E+03
    2.510              0.3435E+03                             0.8118E+03                             0.1230E+03
    2.520              0.3438E+03                             0.8124E+03                             0.1231E+03
    2.530              0.3440E+03                             0.8131E+03                             0.1232E+03
    2.540              0.3443E+03                             0.8137E+03                             0.1234E+03
    2.550              0.3446E+03                             0.8143E+03                             0.1235E+03
    2.560              0.3449E+03                             0.8150E+03                             0.1236E+03
    2.570              0.3452E+03                             0.8156E+03                             0.1237E+03
    2.580              0.3455E+03                             0.8162E+03                             0.1238E+03
    2.590              0.3457E+03                             0.8169E+03                             0.1239E+03
    2.600              0.3460E+03                             0.8175E+03                             0.1240E+03
    2.610              0.3463E+03                             0.8181E+03                             0.1241E+03
    2.620              0.3466E+03                             0.8187E+03                             0.1242E+03
    2.630              0.3468E+03                             0.8193E+03                             0.1243E+03
    2.640              0.3471E+03                             0.8200E+03                             0.1244E+03
    2.650              0.3474E+03                             0.8206E+03                             0.1245E+03
    2.660              0.3477E+03                             0.8212E+03                             0.1246E+03
    2.670              0.3479E+03                             0.8218E+03                             0.1247E+03
    2.680              0.3482E+03                             0.8224E+03                             0.1248E+03
    2.690              0.3485E+03                             0.8230E+03                             0.1249E+03
    2.700              0.3488E+03                             0.8236E+03                             0.1250E+03
    2.710              0.3490E+03                             0.8243E+03                             0.1251E+03
    2.720              0.3493E+03                             0.8249E+03                             0.1252E+03
    2.730              0.3496E+03                             0.8255E+03                             0.1253E+03
    2.740              0.3498E+03                             0.8261E+03                             0.1254E+03
    2.750              0.3501E+03                             0.8267E+03                             0.1255E+03
    2.760              0.3504E+03                             0.8273E+03                             0.1256E+03
    2.770              0.3506E+03                             0.8279E+03                             0.1257E+03
    2.780              0.3509E+03                             0.8285E+03                             0.1258E+03
    2.790              0.3512E+03                             0.8291E+03                             0.1259E+03
    2.800              0.3514E+03                             0.8296E+03                             0.1260E+03
    2.810              0.3517E+03                             0.8302E+03                             0.1261E+03
    2.820              0.3520E+03                             0.8308E+03                             0.1262E+03
    2.830              0.3522E+03                             0.8314E+03                             0.1263E+03
    2.840              0.3525E+03                             0.8320E+03                             0.1264E+03
    2.850              0.3527E+03                             0.8326E+03                             0.1265E+03
    2.860              0.3530E+03                             0.8332E+03                             0.1266E+03
    2.870              0.3533E+03                             0.8338E+03                             0.1267E+03
    2.880              0.3535E+03                             0.8343E+03                             0.1268E+03
    2.890              0.3538E+03                             0.8349E+03                             0.1269E+03
    2.900              0.3540E+03                             0.8355E+03                             0.1270E+03
    2.910              0.3543E+03                             0.8361E+03                             0.1271E+03
    2.920              0.3545E+03                             0.8366E+03                             0.1272E+03
    2.930              0.3548E+03                             0.8372E+03                             0.1273E+03
    2.940              0.3550E+03                             0.8378E+03                             0.1274E+03
    2.950              0.3553E+03                             0.8384E+03                             0.1275E+03
    2.960              0.3555E+03                             0.8389E+03                             0.1276E+03
    2.970              0.3558E+03                             0.8395E+03                             0.1277E+03
    2.980              0.3560E+03                             0.8401E+03                             0.1278E+03
    2.990              0.3563E+03                             0.8406E+03                             0.1279E+03
    3.000              0.3565E+03                             0.8412E+03                             0.1279E+03
    3.010              0.3568E+03                             0.8417E+03                             0.1280E+03
    3.020              0.3570E+03                             0.8423E+03                             0.1281E+03
    3.030              0.3573E+03                             0.8429E+03                             0.1282E+03
    3.040              0.3575E+03                             0.8434E+03                             0.1283E+03
    3.050              0.3578E+03                             0.8440E+03                             0.1284E+03
    3.060              0.3580E+03                             0.8445E+03                             0.1285E+03
    3.070              0.3583E+03                             0.8451E+03                             0.1286E+03
    3.080              0.3585E+03                             0.8456E+03                             0.1287E+03
    3.090              0.3588E+03                             0.8462E+03                             0.1288E+03
    3.100              0.3590E+03                             0.8467E+03                             0.1289E+03
    3.110              0.3592E+03                             0.8473E+03                             0.1290E+03
    3.120              0.3595E+03                             0.8478E+03                             0.1290E+03
    3.130              0.3597E+03                             0.8484E+03                             0.1291E+03
    3.140              0.3600E+03                             0.8489E+03                             0.1292E+03
    3.150              0.3602E+03                             0.8494E+03                             0.1293E+03
    3.160              0.3604E+03                             0.8500E+03                             0.1294E+03
    3.170              0.3607E+03                             0.8505E+03                             0.1295E+03
    3.180              0.3609E+03                             0.8511E+03                             0.1296E+03
    3.190              0.3612E+03                             0.8516E+03                             0.1297E+03
    3.200              0.3614E+03                             0.8521E+03                             0.1298E+03
    3.210              0.3616E+03                             0.8527E+03                             0.1298E+03
    3.220              0.3619E+03                             0.8532E+03                             0.1299E+03
    3.230              0.3621E+03                             0.8537E+03                             0.1300E+03
    3.240              0.3623E+03                             0.8543E+03                             0.1301E+03
    3.250              0.3626E+03                             0.8548E+03                             0.1302E+03
    3.260              0.3628E+03                             0.8553E+03                             0.1303E+03
    3.270              0.3630E+03                             0.8558E+03                             0.1304E+03
    3.280              0.3633E+03                             0.8564E+03                             0.1304E+03
    3.290              0.3635E+03                             0.8569E+03                             0.1305E+03
    3.300              0.3637E+03                             0.8574E+03                             0.1306E+03
    3.310              0.3640E+03                             0.8579E+03                             0.1307E+03
    3.320              0.3642E+03                             0.8585E+03                             0.1308E+03
    3.330              0.3644E+03                             0.8590E+03                             0.1309E+03
    3.340              0.3646E+03                             0.8595E+03                             0.1310E+03
    3.350              0.3649E+03                             0.8600E+03                             0.1310E+03
    3.360              0.3651E+03                             0.8605E+03                             0.1311E+03
    3.370              0.3653E+03                             0.8610E+03                             0.1312E+03
    3.380              0.3655E+03                             0.8615E+03                             0.1313E+03
    3.390              0.3658E+03                             0.8621E+03                             0.1314E+03
    3.400              0.3660E+03                             0.8626E+03                             0.1315E+03
    3.410              0.3662E+03                             0.8631E+03                             0.1315E+03
    3.420              0.3664E+03                             0.8636E+03                             0.1316E+03
    3.430              0.3667E+03                             0.8641E+03                             0.1317E+03
    3.440              0.3669E+03                             0.8646E+03                             0.1318E+03
    3.450              0.3671E+03                             0.8651E+03                             0.1319E+03
    3.460              0.3673E+03                             0.8656E+03                             0.1320E+03
    3.470              0.3676E+03                             0.8661E+03                             0.1320E+03
    3.480              0.3678E+03                             0.8666E+03                             0.1321E+03
    3.490              0.3680E+03                             0.8671E+03                             0.1322E+03
    3.500              0.3682E+03                             0.8676E+03                             0.1323E+03
    3.510              0.3684E+03                             0.8681E+03                             0.1324E+03
    3.520              0.3687E+03                             0.8686E+03                             0.1324E+03
    3.530              0.3689E+03                             0.8691E+03                             0.1325E+03
    3.540              0.3691E+03                             0.8696E+03                             0.1326E+03
    3.550              0.3693E+03                             0.8701E+03                             0.1327E+03
    3.560              0.3695E+03                             0.8706E+03                             0.1328E+03
    3.570              0.3697E+03                             0.8711E+03                             0.1328E+03
    3.580              0.3699E+03                             0.8715E+03                             0.1329E+03
    3.590              0.3702E+03                             0.8720E+03                             0.1330E+03
    3.600              0.3704E+03                             0.8725E+03                             0.1331E+03
    3.610              0.3706E+03                             0.8730E+03                             0.1332E+03
    3.620              0.3708E+03                             0.8735E+03                             0.1332E+03
    3.630              0.3710E+03                             0.8740E+03                             0.1333E+03
    3.640              0.3712E+03                             0.8745E+03                             0.1334E+03
    3.650              0.3714E+03                             0.8749E+03                             0.1335E+03
    3.660              0.3717E+03                             0.8754E+03                             0.1335E+03
    3.670              0.3719E+03                             0.8759E+03                             0.1336E+03
    3.680              0.3721E+03                             0.8764E+03                             0.1337E+03
    3.690              0.3723E+03                             0.8768E+03                             0.1338E+03
    3.700              0.3725E+03                             0.8773E+03                             0.1339E+03
    3.710              0.3727E+03                             0.8778E+03                             0.1339E+03
    3.720              0.3729E+03                             0.8783E+03                             0.1340E+03
    3.730              0.3731E+03                             0.8787E+03                             0.1341E+03
    3.740              0.3733E+03                             0.8792E+03                             0.1342E+03
    3.750              0.3735E+03                             0.8797E+03                             0.1342E+03
    3.760              0.3737E+03                             0.8802E+03                             0.1343E+03
    3.770              0.3739E+03                             0.8806E+03                             0.1344E+03
    3.780              0.3742E+03                             0.8811E+03                             0.1345E+03
    3.790              0.3744E+03                             0.8816E+03                             0.1345E+03
    3.800              0.3746E+03                             0.8820E+03                             0.1346E+03
    3.810              0.3748E+03                             0.8825E+03                             0.1347E+03
    3.820              0.3750E+03                             0.8830E+03                             0.1348E+03
    3.830              0.3752E+03                             0.8834E+03                             0.1348E+03
    3.840              0.3754E+03                             0.8839E+03                             0.1349E+03
