Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
   64.850               1.220                              1.220                              1.220
   64.860               1.220                              1.220                              1.220
   64.870               1.220                              1.220                              1.220
   64.880               1.220                              1.220                              1.220
   64.890               1.220                              1.220                              1.220
   64.900               1.220                              1.220                              1.220
   64.910               1.220                              1.220                              1.220
   64.920               1.220                              1.220                              1.220
   64.930               1.220                              1.220                              1.220
   64.940               1.220                              1.220                              1.220
   64.950               1.220                              1.220                              1.220
   64.960               1.220                              1.220                              1.220
   64.970               1.220                              1.220                              1.220
   64.980               1.220                              1.220                              1.220
   64.990               1.220                              1.220                              1.220
   65.000               1.220                              1.220                              1.220
   65.010               1.220                              1.220                              1.220
   65.020               1.220                              1.220                              1.220
   65.030               1.220                              1.220                              1.220
   65.040               1.220                              1.220                              1.220
   65.050               1.220                              1.220                              1.220
   65.060               1.220                              1.220                              1.220
   65.070               1.220                              1.220                              1.220
   65.080               1.220                              1.220                              1.220
   65.090               1.220                              1.220                              1.220
   65.100               1.220                              1.220                              1.220
   65.110               1.220                              1.220                              1.220
   65.120               1.220                              1.220                              1.220
   65.130               1.220                              1.220                              1.220
   65.140               1.220                              1.220                              1.220
   65.150               1.220                              1.220                              1.220
   65.160               1.220                              1.220                              1.220
   65.170               1.220                              1.220                              1.220
   65.180               1.220                              1.220                              1.220
   65.190               1.220                              1.220                              1.220
   65.200               1.220                              1.220                              1.220
   65.210               1.220                              1.220                              1.220
   65.220               1.220                              1.220                              1.220
   65.230               1.220                              1.220                              1.220
   65.240               1.220                              1.220                              1.220
   65.250               1.220                              1.220                              1.220
   65.260               1.220                              1.220                              1.220
   65.270               1.220                              1.220                              1.220
   65.280               1.220                              1.220                              1.220
   65.290               1.220                              1.220                              1.220
   65.300               1.220                              1.220                              1.220
   65.310               1.220                              1.220                              1.220
   65.320               1.220                              1.220                              1.220
   65.330               1.220                              1.220                              1.220
   65.340               1.220                              1.220                              1.220
   65.350               1.220                              1.220                              1.220
   65.360               1.220                              1.220                              1.220
   65.370               1.220                              1.220                              1.220
   65.380               1.220                              1.220                              1.220
   65.390               1.220                              1.220                              1.220
   65.400               1.220                              1.220                              1.220
   65.410               1.220                              1.220                              1.220
   65.420               1.220                              1.220                              1.220
   65.430               1.220                              1.220                              1.220
   65.440               1.220                              1.220                              1.220
   65.450               1.220                              1.220                              1.220
   65.460               1.220                              1.220                              1.220
   65.470               1.220                              1.220                              1.220
   65.480               1.220                              1.220                              1.220
   65.490               1.220                              1.220                              1.220
   65.500               1.220                              1.220                              1.220
   65.510               1.220                              1.220                              1.220
   65.520               1.220                              1.220                              1.220
   65.530               1.220                              1.220                              1.220
   65.540               1.220                              1.220                              1.220
   65.550               1.220                              1.220                              1.220
   65.560               1.220                              1.220                              1.220
   65.570               1.220                              1.220                              1.220
   65.580               1.220                              1.220                              1.220
   65.590               1.220                              1.220                              1.220
   65.600               1.220                              1.220                              1.220
   65.610               1.220                              1.220                              1.220
   65.620               1.220                              1.220                              1.220
   65.630               1.220                              1.220                              1.220
   65.640               1.220                              1.220                              1.220
   65.650               1.220                              1.220                              1.220
   65.660               1.220                              1.220                              1.220
   65.670               1.220                              1.220                              1.220
   65.680               1.220                              1.220                              1.220
   65.690               1.220                              1.220                              1.220
   65.700               1.220                              1.220                              1.220
   65.710               1.220                              1.220                              1.220
   65.720               1.220                              1.220                              1.220
   65.730               1.220                              1.220                              1.220
   65.740               1.220                              1.220                              1.220
   65.750               1.220                              1.220                              1.220
   65.760               1.220                              1.220                              1.220
   65.770               1.220                              1.220                              1.220
   65.780               1.220                              1.220                              1.220
   65.790               1.220                              1.220                              1.220
   65.800               1.220                              1.220                              1.220
   65.810               1.220                              1.220                              1.220
   65.820               1.220                              1.220                              1.220
   65.830               1.220                              1.220                              1.220
   65.840               1.220                              1.220                              1.220
   65.850               1.220                              1.220                              1.220
   65.860               1.220                              1.220                              1.220
   65.870               1.220                              1.220                              1.220
   65.880               1.220                              1.220                              1.220
   65.890               1.220                              1.220                              1.220
   65.900               1.220                              1.220                              1.220
   65.910               1.220                              1.220                              1.220
   65.920               1.220                              1.220                              1.220
   65.930               1.220                              1.220                              1.220
   65.940               1.220                              1.220                              1.220
   65.950               1.220                              1.220                              1.220
   65.960               1.220                              1.220                              1.220
   65.970               1.220                              1.220                              1.220
   65.980               1.220                              1.220                              1.220
   65.990               1.220                              1.220                              1.220
   66.000               1.220                              1.220                              1.220
   66.010               1.220                              1.220                              1.220
   66.020               1.220                              1.220                              1.220
   66.030               1.220                              1.220                              1.220
   66.040               1.220                              1.220                              1.220
   66.050               1.220                              1.220                              1.220
   66.060               1.220                              1.220                              1.220
   66.070               1.220                              1.220                              1.220
   66.080               1.220                              1.220                              1.220
   66.090               1.220                              1.220                              1.220
   66.100               1.220                              1.220                              1.220
   66.110               1.220                              1.220                              1.220
   66.120               1.220                              1.220                              1.220
   66.130               1.220                              1.220                              1.220
   66.140               1.220                              1.220                              1.220
   66.150               1.220                              1.220                              1.220
   66.160               1.220                              1.220                              1.220
   66.170               1.220                              1.220                              1.220
   66.180               1.220                              1.220                              1.220
   66.190               1.220                              1.220                              1.220
   66.200               1.220                              1.220                              1.220
   66.210               1.220                              1.220                              1.220
   66.220               1.220                              1.220                              1.220
   66.230               1.220                              1.220                              1.220
   66.240               1.220                              1.220                              1.220
   66.250               1.220                              1.220                              1.220
   66.260               1.220                              1.220                              1.220
   66.270               1.220                              1.220                              1.220
   66.280               1.220                              1.220                              1.220
   66.290               1.220                              1.220                              1.220
   66.300               1.220                              1.220                              1.220
   66.310               1.220                              1.220                              1.220
   66.320               1.220                              1.220                              1.220
   66.330               1.220                              1.220                              1.220
   66.340               1.220                              1.220                              1.220
   66.350               1.220                              1.220                              1.220
   66.360               1.220                              1.220                              1.220
   66.370               1.220                              1.220                              1.220
   66.380               1.220                              1.220                              1.220
   66.390               1.220                              1.220                              1.220
   66.400               1.220                              1.220                              1.220
   66.410               1.220                              1.220                              1.220
   66.420               1.220                              1.220                              1.220
   66.430               1.220                              1.220                              1.220
   66.440               1.220                              1.220                              1.220
   66.450               1.220                              1.220                              1.220
   66.460               1.220                              1.220                              1.220
   66.470               1.220                              1.220                              1.220
   66.480               1.220                              1.220                              1.220
   66.490               1.220                              1.220                              1.220
   66.500               1.220                              1.220                              1.220
   66.510               1.220                              1.220                              1.220
   66.520               1.220                              1.220                              1.220
   66.530               1.220                              1.220                              1.220
   66.540               1.220                              1.220                              1.220
   66.550               1.220                              1.220                              1.220
   66.560               1.220                              1.220                              1.220
   66.570               1.220                              1.220                              1.220
   66.580               1.220                              1.220                              1.220
   66.590               1.220                              1.220                              1.220
   66.600               1.220                              1.220                              1.220
   66.610               1.220                              1.220                              1.220
   66.620               1.220                              1.220                              1.220
   66.630               1.220                              1.220                              1.220
   66.640               1.220                              1.220                              1.220
   66.650               1.220                              1.220                              1.220
   66.660               1.220                              1.220                              1.220
   66.670               1.220                              1.220                              1.220
   66.680               1.220                              1.220                              1.220
   66.690               1.220                              1.220                              1.220
   66.700               1.220                              1.220                              1.220
   66.710               1.220                              1.220                              1.220
   66.720               1.220                              1.220                              1.220
   66.730               1.220                              1.220                              1.220
   66.740               1.220                              1.220                              1.220
   66.750               1.220                              1.220                              1.220
   66.760               1.220                              1.220                              1.220
   66.770               1.220                              1.220                              1.220
   66.780               1.220                              1.220                              1.220
   66.790               1.220                              1.220                              1.220
   66.800               1.220                              1.220                              1.220
   66.810               1.220                              1.220                              1.220
   66.820               1.220                              1.220                              1.220
   66.830               1.220                              1.220                              1.220
   66.840               1.220                              1.220                              1.220
   66.850               1.220                              1.220                              1.220
   66.860               1.220                              1.220                              1.220
   66.870               1.220                              1.220                              1.220
   66.880               1.220                              1.220                              1.220
   66.890               1.220                              1.220                              1.220
   66.900               1.220                              1.220                              1.220
   66.910               1.220                              1.220                              1.220
   66.920               1.220                              1.220                              1.220
   66.930               1.220                              1.220                              1.220
   66.940               1.220                              1.220                              1.220
   66.950               1.220                              1.220                              1.220
   66.960               1.220                              1.220                              1.220
   66.970               1.220                              1.220                              1.220
   66.980               1.220                              1.220                              1.220
   66.990               1.220                              1.220                              1.220
   67.000               1.220                              1.220                              1.220
   67.010               1.220                              1.220                              1.220
   67.020               1.220                              1.220                              1.220
   67.030               1.220                              1.220                              1.220
   67.040               1.220                              1.220                              1.220
   67.050               1.220                              1.220                              1.220
   67.060               1.220                              1.220                              1.220
   67.070               1.220                              1.220                              1.220
   67.080               1.220                              1.220                              1.220
   67.090               1.220                              1.220                              1.220
   67.100               1.220                              1.220                              1.220
   67.110               1.220                              1.220                              1.220
   67.120               1.220                              1.220                              1.220
   67.130               1.220                              1.220                              1.220
   67.140               1.220                              1.220                              1.220
   67.150               1.220                              1.220                              1.220
   67.160               1.220                              1.220                              1.220
   67.170               1.220                              1.220                              1.220
   67.180               1.220                              1.220                              1.220
   67.190               1.220                              1.220                              1.220
   67.200               1.220                              1.220                              1.220
   67.210               1.220                              1.220                              1.220
   67.220               1.220                              1.220                              1.220
   67.230               1.220                              1.220                              1.220
   67.240               1.220                              1.220                              1.220
   67.250               1.220                              1.220                              1.220
   67.260               1.220                              1.220                              1.220
   67.270               1.220                              1.220                              1.220
   67.280               1.220                              1.220                              1.220
   67.290               1.220                              1.220                              1.220
   67.300               1.220                              1.220                              1.220
   67.310               1.220                              1.220                              1.220
   67.320               1.220                              1.220                              1.220
   67.330               1.220                              1.220                              1.220
   67.340               1.220                              1.220                              1.220
   67.350               1.220                              1.220                              1.220
   67.360               1.220                              1.220                              1.220
   67.370               1.220                              1.220                              1.220
   67.380               1.220                              1.220                              1.220
   67.390               1.220                              1.220                              1.220
   67.400               1.220                              1.220                              1.220
   67.410               1.220                              1.220                              1.220
   67.420               1.220                              1.220                              1.220
   67.430               1.220                              1.220                              1.220
   67.440               1.220                              1.220                              1.220
   67.450               1.220                              1.220                              1.220
   67.460               1.220                              1.220                              1.220
   67.470               1.220                              1.220                              1.220
   67.480               1.220                              1.220                              1.220
   67.490               1.220                              1.220                              1.220
   67.500               1.220                              1.220                              1.220
   67.510               1.220                              1.220                              1.220
   67.520               1.220                              1.220                              1.220
   67.530               1.220                              1.220                              1.220
   67.540               1.220                              1.220                              1.220
   67.550               1.220                              1.220                              1.220
   67.560               1.220                              1.220                              1.220
   67.570               1.220                              1.220                              1.220
   67.580               1.220                              1.220                              1.220
   67.590               1.220                              1.220                              1.220
   67.600               1.220                              1.220                              1.220
   67.610               1.220                              1.220                              1.220
   67.620               1.220                              1.220                              1.220
   67.630               1.220                              1.220                              1.220
   67.640               1.220                              1.220                              1.220
   67.650               1.220                              1.220                              1.220
   67.660               1.220                              1.220                              1.220
   67.670               1.220                              1.220                              1.220
   67.680               1.220                              1.220                              1.220
   67.690               1.220                              1.220                              1.220
   67.700               1.220                              1.220                              1.220
   67.710               1.220                              1.220                              1.220
   67.720               1.220                              1.220                              1.220
   67.730               1.220                              1.220                              1.220
   67.740               1.220                              1.220                              1.220
   67.750               1.220                              1.220                              1.220
   67.760               1.220                              1.220                              1.220
   67.770               1.220                              1.220                              1.220
   67.780               1.220                              1.220                              1.220
   67.790               1.220                              1.220                              1.220
   67.800               1.220                              1.220                              1.220
   67.810               1.220                              1.220                              1.220
   67.820               1.220                              1.220                              1.220
   67.830               1.220                              1.220                              1.220
   67.840               1.220                              1.220                              1.220
   67.850               1.220                              1.220                              1.220
   67.860               1.220                              1.220                              1.220
   67.870               1.220                              1.220                              1.220
   67.880               1.220                              1.220                              1.220
   67.890               1.220                              1.220                              1.220
   67.900               1.220                              1.220                              1.220
   67.910               1.220                              1.220                              1.220
   67.920               1.220                              1.220                              1.220
   67.930               1.220                              1.220                              1.220
   67.940               1.220                              1.220                              1.220
   67.950               1.220                              1.220                              1.220
   67.960               1.220                              1.220                              1.220
   67.970               1.220                              1.220                              1.220
   67.980               1.220                              1.220                              1.220
   67.990               1.220                              1.220                              1.220
   68.000               1.220                              1.220                              1.220
   68.010               1.220                              1.220                              1.220
   68.020               1.220                              1.220                              1.220
   68.030               1.220                              1.220                              1.220
   68.040               1.220                              1.220                              1.220
   68.050               1.220                              1.220                              1.220
   68.060               1.220                              1.220                              1.220
   68.070               1.220                              1.220                              1.220
   68.080               1.220                              1.220                              1.220
   68.090               1.220                              1.220                              1.220
   68.100               1.220                              1.220                              1.220
   68.110               1.220                              1.220                              1.220
   68.120               1.220                              1.220                              1.220
   68.130               1.220                              1.220                              1.220
   68.140               1.220                              1.220                              1.220
   68.150               1.220                              1.220                              1.220
   68.160               1.220                              1.220                              1.220
   68.170               1.220                              1.220                              1.220
   68.180               1.220                              1.220                              1.220
   68.190               1.220                              1.220                              1.220
   68.200               1.220                              1.220                              1.220
   68.210               1.220                              1.220                              1.220
   68.220               1.220                              1.220                              1.220
   68.230               1.220                              1.220                              1.220
   68.240               1.220                              1.220                              1.220
   68.250               1.220                              1.220                              1.220
   68.260               1.220                              1.220                              1.220
   68.270               1.220                              1.220                              1.220
   68.280               1.220                              1.220                              1.220
   68.290               1.220                              1.220                              1.220
   68.300               1.220                              1.220                              1.220
   68.310               1.220                              1.220                              1.220
   68.320               1.220                              1.220                              1.220
   68.330               1.220                              1.220                              1.220
   68.340               1.220                              1.220                              1.220
   68.350               1.220                              1.220                              1.220
   68.360               1.220                              1.220                              1.220
   68.370               1.220                              1.220                              1.220
   68.380               1.220                              1.220                              1.220
   68.390               1.220                              1.220                              1.220
   68.400               1.220                              1.220                              1.220
   68.410               1.220                              1.220                              1.220
   68.420               1.220                              1.220                              1.220
   68.430               1.220                              1.220                              1.220
   68.440               1.220                              1.220                              1.220
   68.450               1.220                              1.220                              1.220
   68.460               1.220                              1.220                              1.220
   68.470               1.220                              1.220                              1.220
   68.480               1.220                              1.220                              1.220
   68.490               1.220                              1.220                              1.220
   68.500               1.220                              1.220                              1.220
   68.510               1.220                              1.220                              1.220
   68.520               1.220                              1.220                              1.220
   68.530               1.220                              1.220                              1.220
   68.540               1.220                              1.220                              1.220
   68.550               1.220                              1.220                              1.220
   68.560               1.220                              1.220                              1.220
   68.570               1.220                              1.220                              1.220
   68.580               1.220                              1.220                              1.220
   68.590               1.220                              1.220                              1.220
   68.600               1.220                              1.220                              1.220
   68.610               1.220                              1.220                              1.220
   68.620               1.220                              1.220                              1.220
   68.630               1.220                              1.220                              1.220
   68.640               1.220                              1.220                              1.220
   68.650               1.220                              1.220                              1.220
   68.660               1.220                              1.220                              1.220
   68.670               1.220                              1.220                              1.220
   68.680               1.220                              1.220                              1.220
   68.690               1.220                              1.220                              1.220
   68.700               1.220                              1.220                              1.220
   68.710               1.220                              1.220                              1.220
   68.720               1.220                              1.220                              1.220
   68.730               1.220                              1.220                              1.220
   68.740               1.220                              1.220                              1.220
   68.750               1.220                              1.220                              1.220
   68.760               1.220                              1.220                              1.220
   68.770               1.220                              1.220                              1.220
   68.780               1.220                              1.220                              1.220
   68.790               1.220                              1.220                              1.220
   68.800               1.220                              1.220                              1.220
   68.810               1.220                              1.220                              1.220
   68.820               1.220                              1.220                              1.220
   68.830               1.220                              1.220                              1.220
   68.840               1.220                              1.220                              1.220
   68.850               1.220                              1.220                              1.220
   68.860               1.220                              1.220                              1.220
   68.870               1.220                              1.220                              1.220
   68.880               1.220                              1.220                              1.220
   68.890               1.220                              1.220                              1.220
   68.900               1.220                              1.220                              1.220
   68.910               1.220                              1.220                              1.220
   68.920               1.220                              1.220                              1.220
   68.930               1.220                              1.220                              1.220
   68.940               1.220                              1.220                              1.220
   68.950               1.220                              1.220                              1.220
   68.960               1.220                              1.220                              1.220
   68.970               1.220                              1.220                              1.220
   68.980               1.220                              1.220                              1.220
   68.990               1.220                              1.220                              1.220
   69.000               1.220                              1.220                              1.220
   69.010               1.220                              1.220                              1.220
   69.020               1.220                              1.220                              1.220
   69.030               1.220                              1.220                              1.220
   69.040               1.220                              1.220                              1.220
   69.050               1.220                              1.220                              1.220
   69.060               1.220                              1.220                              1.220
   69.070               1.220                              1.220                              1.220
   69.080               1.220                              1.220                              1.220
   69.090               1.220                              1.220                              1.220
   69.100               1.220                              1.220                              1.220
   69.110               1.220                              1.220                              1.220
   69.120               1.220                              1.220                              1.220
   69.130               1.220                              1.220                              1.220
   69.140               1.220                              1.220                              1.220
   69.150               1.220                              1.220                              1.220
   69.160               1.220                              1.220                              1.220
   69.170               1.220                              1.220                              1.220
   69.180               1.220                              1.220                              1.220
   69.190               1.220                              1.220                              1.220
   69.200               1.220                              1.220                              1.220
   69.210               1.220                              1.220                              1.220
   69.220               1.220                              1.220                              1.220
   69.230               1.220                              1.220                              1.220
   69.240               1.220                              1.220                              1.220
   69.250               1.220                              1.220                              1.220
   69.260               1.220                              1.220                              1.220
   69.270               1.220                              1.220                              1.220
   69.280               1.220                              1.220                              1.220
   69.290               1.220                              1.220                              1.220
   69.300               1.220                              1.220                              1.220
   69.310               1.220                              1.220                              1.220
   69.320               1.220                              1.220                              1.220
   69.330               1.220                              1.220                              1.220
   69.340               1.220                              1.220                              1.220
