Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
    4.210               1.222                              1.220                              1.227
    4.220               1.222                              1.220                              1.227
    4.230               1.222                              1.220                              1.227
    4.240               1.222                              1.220                              1.227
    4.250               1.222                              1.220                              1.227
    4.260               1.222                              1.220                              1.227
    4.270               1.222                              1.220                              1.227
    4.280               1.222                              1.220                              1.227
    4.290               1.222                              1.220                              1.227
    4.300               1.222                              1.220                              1.227
    4.310               1.222                              1.220                              1.227
    4.320               1.222                              1.220                              1.227
    4.330               1.222                              1.220                              1.227
    4.340               1.222                              1.220                              1.227
    4.350               1.222                              1.220                              1.227
    4.360               1.222                              1.220                              1.227
    4.370               1.222                              1.220                              1.227
    4.380               1.222                              1.220                              1.227
    4.390               1.222                              1.220                              1.227
    4.400               1.222                              1.220                              1.226
    4.410               1.222                              1.220                              1.226
    4.420               1.222                              1.220                              1.226
    4.430               1.222                              1.220                              1.226
    4.440               1.222                              1.220                              1.226
    4.450               1.222                              1.220                              1.226
    4.460               1.222                              1.220                              1.226
    4.470               1.222                              1.220                              1.226
    4.480               1.222                              1.220                              1.226
    4.490               1.222                              1.220                              1.226
    4.500               1.222                              1.220                              1.226
    4.510               1.222                              1.220                              1.226
    4.520               1.222                              1.220                              1.226
    4.530               1.222                              1.220                              1.226
    4.540               1.222                              1.220                              1.226
    4.550               1.222                              1.220                              1.226
    4.560               1.222                              1.220                              1.226
    4.570               1.222                              1.220                              1.226
    4.580               1.222                              1.220                              1.226
    4.590               1.222                              1.220                              1.226
    4.600               1.222                              1.220                              1.226
    4.610               1.222                              1.220                              1.226
    4.620               1.222                              1.220                              1.226
    4.630               1.222                              1.220                              1.226
    4.640               1.222                              1.220                              1.226
    4.650               1.222                              1.220                              1.226
    4.660               1.222                              1.220                              1.226
    4.670               1.222                              1.220                              1.226
    4.680               1.222                              1.220                              1.226
    4.690               1.222                              1.220                              1.226
    4.700               1.222                              1.220                              1.226
    4.710               1.222                              1.220                              1.226
