 Solution Component Class     dp (m)     ps(-)  wt(m s^-1)     Pn(-)       C(-) rhos(kg m^-3) R(kg m^-1 s^-2)
       2          1    11  0.442E-04  0.265E-01    0.1291     0.1910  0.589E-05      3280.000       0.249E-02
       2          1    12  0.313E-04  0.152E-01    0.0632     0.0936  0.689E-05      3280.000       0.143E-02
       2          1    13  0.221E-04  0.100E-01    0.0268     0.0396  0.107E-04      3280.000       0.941E-03
       2          1    14  0.156E-04  0.550E-02    0.0102     0.0150  0.155E-04      3280.000       0.517E-03
       2          1    15  0.110E-04  0.350E-02    0.0037     0.0054  0.273E-04      3280.000       0.329E-03
       2          2     1  0.200E-02  0.190E-02    3.1914     4.7218  0.345E-07      1623.110       0.179E-03
       2          2     2  0.141E-02  0.200E-02    2.6280     3.8882  0.416E-07      1719.823       0.188E-03
       2          2     3  0.100E-02  0.470E-02    2.1510     3.1825  0.113E-06      1822.300       0.442E-03
       2          2     4  0.707E-03  0.520E-02    1.7431     2.5790  0.145E-06      1930.883       0.489E-03
       2          2     5  0.500E-03  0.690E-02    1.3926     2.0604  0.228E-06      2045.935       0.649E-03
       2          2     6  0.354E-03  0.860E-02    1.0925     1.6163  0.342E-06      2167.843       0.809E-03
       2          2     7  0.250E-03  0.770E-02    0.8383     1.2402  0.376E-06      2297.015       0.724E-03
       2          2     8  0.177E-03  0.680E-02    0.6257     0.9257  0.420E-06      2433.884       0.640E-03
       2          2     9  0.125E-03  0.470E-02    0.4504     0.6664  0.381E-06      2578.908       0.442E-03
       2          2    10  0.884E-04  0.370E-02    0.3059     0.4526  0.421E-06      2700.000       0.348E-03
       2          2    11  0.625E-04  0.390E-02    0.1864     0.2758  0.729E-06      2700.000       0.367E-03
       2          2    12  0.442E-04  0.350E-02    0.1020     0.1510  0.120E-05      2700.000       0.329E-03
       2          2    13  0.313E-04  0.200E-02    0.0483     0.0715  0.144E-05      2700.000       0.188E-03
       2          2    14  0.221E-04  0.130E-02    0.0197     0.0292  0.230E-05      2700.000       0.122E-03
       2          2    15  0.156E-04  0.700E-03    0.0073     0.0109  0.332E-05      2700.000       0.659E-04
       2          2    16  0.110E-04  0.500E-03    0.0026     0.0039  0.662E-05      2700.000       0.470E-04
       2          3     1  0.566E-02  0.700E-03    7.8908    11.6747  0.319E-08      2620.000       0.659E-04
       2          3     2  0.400E-02  0.100E-02    6.3488     9.3932  0.566E-08      2620.000       0.941E-04
       2          3     3  0.283E-02  0.320E-02    5.0967     7.5407  0.225E-07      2620.000       0.301E-03
       2          3     4  0.200E-02  0.360E-02    4.0823     6.0399  0.317E-07      2620.000       0.339E-03
       2          3     5  0.141E-02  0.102E-01    3.2601     4.8234  0.112E-06      2620.000       0.960E-03
       2          3     6  0.100E-02  0.211E-01    2.5904     3.8326  0.292E-06      2620.000       0.199E-02
       2          3     7  0.707E-03  0.318E-01    2.0401     3.0184  0.560E-06      2620.000       0.299E-02
       2          3     8  0.500E-03  0.307E-01    1.5845     2.3444  0.696E-06      2620.000       0.289E-02
       2          3     9  0.354E-03  0.391E-01    1.2077     1.7869  0.116E-05      2620.000       0.368E-02
       2          3    10  0.250E-03  0.466E-01    0.8990     1.3301  0.186E-05      2620.000       0.438E-02
       2          3    11  0.177E-03  0.445E-01    0.6495     0.9610  0.246E-05      2620.000       0.419E-02
       2          3    12  0.125E-03  0.445E-01    0.4511     0.6674  0.354E-05      2620.000       0.419E-02
       2          3    13  0.884E-04  0.480E-01    0.2966     0.4388  0.581E-05      2620.000       0.452E-02
       2          3    14  0.625E-04  0.505E-01    0.1806     0.2672  0.100E-04      2620.000       0.475E-02
       2          3    15  0.442E-04  0.450E-01    0.0986     0.1458  0.164E-04      2620.000       0.423E-02
       2          3    16  0.313E-04  0.258E-01    0.0465     0.0687  0.199E-04      2620.000       0.243E-02
       2          3    17  0.221E-04  0.170E-01    0.0189     0.0279  0.323E-04      2620.000       0.160E-02
       2          3    18  0.156E-04  0.930E-02    0.0070     0.0104  0.476E-04      2620.000       0.875E-03
       2          3    19  0.110E-04  0.600E-02    0.0025     0.0037  0.857E-04      2620.000       0.564E-03
