Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
   51.240             0.80721E-09                                  0.00000E+00                                  0.37397E-07
   51.250             0.80651E-09                                  0.00000E+00                                  0.37382E-07
   51.260             0.80582E-09                                  0.00000E+00                                  0.37368E-07
   51.270             0.80512E-09                                  0.00000E+00                                  0.37354E-07
   51.280             0.80443E-09                                  0.00000E+00                                  0.37339E-07
   51.290             0.80374E-09                                  0.00000E+00                                  0.37325E-07
   51.300             0.80304E-09                                  0.00000E+00                                  0.37311E-07
   51.310             0.80235E-09                                  0.00000E+00                                  0.37296E-07
   51.320             0.80166E-09                                  0.00000E+00                                  0.37282E-07
   51.330             0.80097E-09                                  0.00000E+00                                  0.37268E-07
   51.340             0.80028E-09                                  0.00000E+00                                  0.37254E-07
   51.350             0.79959E-09                                  0.00000E+00                                  0.37239E-07
   51.360             0.79890E-09                                  0.00000E+00                                  0.37225E-07
   51.370             0.79821E-09                                  0.00000E+00                                  0.37211E-07
   51.380             0.79752E-09                                  0.00000E+00                                  0.37197E-07
   51.390             0.79683E-09                                  0.00000E+00                                  0.37182E-07
   51.400             0.79615E-09                                  0.00000E+00                                  0.37168E-07
   51.410             0.79546E-09                                  0.00000E+00                                  0.37154E-07
   51.420             0.79477E-09                                  0.00000E+00                                  0.37140E-07
   51.430             0.79409E-09                                  0.00000E+00                                  0.37125E-07
   51.440             0.79340E-09                                  0.00000E+00                                  0.37111E-07
   51.450             0.79272E-09                                  0.00000E+00                                  0.37097E-07
   51.460             0.79204E-09                                  0.00000E+00                                  0.37083E-07
   51.470             0.79135E-09                                  0.00000E+00                                  0.37069E-07
   51.480             0.79067E-09                                  0.00000E+00                                  0.37055E-07
   51.490             0.78999E-09                                  0.00000E+00                                  0.37040E-07
   51.500             0.78931E-09                                  0.00000E+00                                  0.37026E-07
   51.510             0.78863E-09                                  0.00000E+00                                  0.37012E-07
   51.520             0.78795E-09                                  0.00000E+00                                  0.36998E-07
   51.530             0.78727E-09                                  0.00000E+00                                  0.36984E-07
   51.540             0.78659E-09                                  0.00000E+00                                  0.36970E-07
   51.550             0.78591E-09                                  0.00000E+00                                  0.36956E-07
   51.560             0.78524E-09                                  0.00000E+00                                  0.36942E-07
   51.570             0.78456E-09                                  0.00000E+00                                  0.36927E-07
   51.580             0.78388E-09                                  0.00000E+00                                  0.36913E-07
   51.590             0.78321E-09                                  0.00000E+00                                  0.36899E-07
   51.600             0.78253E-09                                  0.00000E+00                                  0.36885E-07
   51.610             0.78186E-09                                  0.00000E+00                                  0.36871E-07
   51.620             0.78118E-09                                  0.00000E+00                                  0.36857E-07
   51.630             0.78051E-09                                  0.00000E+00                                  0.36843E-07
   51.640             0.77984E-09                                  0.00000E+00                                  0.36829E-07
   51.650             0.77916E-09                                  0.00000E+00                                  0.36815E-07
   51.660             0.77849E-09                                  0.00000E+00                                  0.36801E-07
   51.670             0.77782E-09                                  0.00000E+00                                  0.36787E-07
   51.680             0.77715E-09                                  0.00000E+00                                  0.36773E-07
   51.690             0.77648E-09                                  0.00000E+00                                  0.36759E-07
   51.700             0.77581E-09                                  0.00000E+00                                  0.36745E-07
   51.710             0.77514E-09                                  0.00000E+00                                  0.36731E-07
   51.720             0.77448E-09                                  0.00000E+00                                  0.36717E-07
   51.730             0.77381E-09                                  0.00000E+00                                  0.36703E-07
   51.740             0.77314E-09                                  0.00000E+00                                  0.36689E-07
   51.750             0.77247E-09                                  0.00000E+00                                  0.36675E-07
   51.760             0.77181E-09                                  0.00000E+00                                  0.36661E-07
   51.770             0.77114E-09                                  0.00000E+00                                  0.36647E-07
   51.780             0.77048E-09                                  0.00000E+00                                  0.36633E-07
   51.790             0.76981E-09                                  0.00000E+00                                  0.36619E-07
   51.800             0.76915E-09                                  0.00000E+00                                  0.36605E-07
   51.810             0.76849E-09                                  0.00000E+00                                  0.36592E-07
   51.820             0.76783E-09                                  0.00000E+00                                  0.36578E-07
   51.830             0.76716E-09                                  0.00000E+00                                  0.36564E-07
   51.840             0.76650E-09                                  0.00000E+00                                  0.36550E-07
   51.850             0.76584E-09                                  0.00000E+00                                  0.36536E-07
   51.860             0.76518E-09                                  0.00000E+00                                  0.36522E-07
   51.870             0.76452E-09                                  0.00000E+00                                  0.36508E-07
   51.880             0.76386E-09                                  0.00000E+00                                  0.36494E-07
   51.890             0.76320E-09                                  0.00000E+00                                  0.36481E-07
   51.900             0.76255E-09                                  0.00000E+00                                  0.36467E-07
   51.910             0.76189E-09                                  0.00000E+00                                  0.36453E-07
   51.920             0.76123E-09                                  0.00000E+00                                  0.36439E-07
   51.930             0.76058E-09                                  0.00000E+00                                  0.36425E-07
   51.940             0.75992E-09                                  0.00000E+00                                  0.36411E-07
   51.950             0.75927E-09                                  0.00000E+00                                  0.36398E-07
   51.960             0.75861E-09                                  0.00000E+00                                  0.36384E-07
   51.970             0.75796E-09                                  0.00000E+00                                  0.36370E-07
   51.980             0.75730E-09                                  0.00000E+00                                  0.36356E-07
   51.990             0.75665E-09                                  0.00000E+00                                  0.36342E-07
   52.000             0.75600E-09                                  0.00000E+00                                  0.36329E-07
   52.010             0.75535E-09                                  0.00000E+00                                  0.36315E-07
   52.020             0.75470E-09                                  0.00000E+00                                  0.36301E-07
   52.030             0.75405E-09                                  0.00000E+00                                  0.36287E-07
   52.040             0.75340E-09                                  0.00000E+00                                  0.36274E-07
   52.050             0.75275E-09                                  0.00000E+00                                  0.36260E-07
   52.060             0.75210E-09                                  0.00000E+00                                  0.36246E-07
   52.070             0.75145E-09                                  0.00000E+00                                  0.36233E-07
   52.080             0.75080E-09                                  0.00000E+00                                  0.36219E-07
   52.090             0.75016E-09                                  0.00000E+00                                  0.36205E-07
   52.100             0.74951E-09                                  0.00000E+00                                  0.36191E-07
   52.110             0.74886E-09                                  0.00000E+00                                  0.36178E-07
   52.120             0.74822E-09                                  0.00000E+00                                  0.36164E-07
   52.130             0.74757E-09                                  0.00000E+00                                  0.36150E-07
   52.140             0.74693E-09                                  0.00000E+00                                  0.36137E-07
   52.150             0.74628E-09                                  0.00000E+00                                  0.36123E-07
   52.160             0.74564E-09                                  0.00000E+00                                  0.36109E-07
   52.170             0.74500E-09                                  0.00000E+00                                  0.36096E-07
   52.180             0.74436E-09                                  0.00000E+00                                  0.36082E-07
   52.190             0.74372E-09                                  0.00000E+00                                  0.36068E-07
   52.200             0.74307E-09                                  0.00000E+00                                  0.36055E-07
   52.210             0.74243E-09                                  0.00000E+00                                  0.36041E-07
   52.220             0.74179E-09                                  0.00000E+00                                  0.36028E-07
   52.230             0.74115E-09                                  0.00000E+00                                  0.36014E-07
   52.240             0.74052E-09                                  0.00000E+00                                  0.36000E-07
   52.250             0.73988E-09                                  0.00000E+00                                  0.35987E-07
   52.260             0.73924E-09                                  0.00000E+00                                  0.35973E-07
   52.270             0.73860E-09                                  0.00000E+00                                  0.35960E-07
   52.280             0.73797E-09                                  0.00000E+00                                  0.35946E-07
   52.290             0.73733E-09                                  0.00000E+00                                  0.35933E-07
   52.300             0.73669E-09                                  0.00000E+00                                  0.35919E-07
   52.310             0.73606E-09                                  0.00000E+00                                  0.35906E-07
   52.320             0.73542E-09                                  0.00000E+00                                  0.35892E-07
   52.330             0.73479E-09                                  0.00000E+00                                  0.35878E-07
   52.340             0.73416E-09                                  0.00000E+00                                  0.35865E-07
   52.350             0.73352E-09                                  0.00000E+00                                  0.35851E-07
   52.360             0.73289E-09                                  0.00000E+00                                  0.35838E-07
   52.370             0.73226E-09                                  0.00000E+00                                  0.35824E-07
   52.380             0.73163E-09                                  0.00000E+00                                  0.35811E-07
   52.390             0.73100E-09                                  0.00000E+00                                  0.35797E-07
   52.400             0.73037E-09                                  0.00000E+00                                  0.35784E-07
   52.410             0.72974E-09                                  0.00000E+00                                  0.35771E-07
   52.420             0.72911E-09                                  0.00000E+00                                  0.35757E-07
   52.430             0.72848E-09                                  0.00000E+00                                  0.35744E-07
   52.440             0.72785E-09                                  0.00000E+00                                  0.35730E-07
   52.450             0.72723E-09                                  0.00000E+00                                  0.35717E-07
   52.460             0.72660E-09                                  0.00000E+00                                  0.35703E-07
   52.470             0.72597E-09                                  0.00000E+00                                  0.35690E-07
   52.480             0.72535E-09                                  0.00000E+00                                  0.35676E-07
   52.490             0.72472E-09                                  0.00000E+00                                  0.35663E-07
   52.500             0.72410E-09                                  0.00000E+00                                  0.35650E-07
   52.510             0.72347E-09                                  0.00000E+00                                  0.35636E-07
   52.520             0.72285E-09                                  0.00000E+00                                  0.35623E-07
   52.530             0.72223E-09                                  0.00000E+00                                  0.35609E-07
   52.540             0.72160E-09                                  0.00000E+00                                  0.35596E-07
   52.550             0.72098E-09                                  0.00000E+00                                  0.35583E-07
   52.560             0.72036E-09                                  0.00000E+00                                  0.35569E-07
   52.570             0.71974E-09                                  0.00000E+00                                  0.35556E-07
   52.580             0.71912E-09                                  0.00000E+00                                  0.35543E-07
   52.590             0.71850E-09                                  0.00000E+00                                  0.35529E-07
   52.600             0.71788E-09                                  0.00000E+00                                  0.35516E-07
   52.610             0.71726E-09                                  0.00000E+00                                  0.35503E-07
   52.620             0.71664E-09                                  0.00000E+00                                  0.35489E-07
   52.630             0.71603E-09                                  0.00000E+00                                  0.35476E-07
   52.640             0.71541E-09                                  0.00000E+00                                  0.35463E-07
   52.650             0.71479E-09                                  0.00000E+00                                  0.35449E-07
   52.660             0.71418E-09                                  0.00000E+00                                  0.35436E-07
   52.670             0.71356E-09                                  0.00000E+00                                  0.35423E-07
   52.680             0.71295E-09                                  0.00000E+00                                  0.35410E-07
   52.690             0.71233E-09                                  0.00000E+00                                  0.35396E-07
   52.700             0.71172E-09                                  0.00000E+00                                  0.35383E-07
   52.710             0.71110E-09                                  0.00000E+00                                  0.35370E-07
   52.720             0.71049E-09                                  0.00000E+00                                  0.35357E-07
   52.730             0.70988E-09                                  0.00000E+00                                  0.35343E-07
   52.740             0.70927E-09                                  0.00000E+00                                  0.35330E-07
   52.750             0.70865E-09                                  0.00000E+00                                  0.35317E-07
   52.760             0.70804E-09                                  0.00000E+00                                  0.35304E-07
   52.770             0.70743E-09                                  0.00000E+00                                  0.35290E-07
   52.780             0.70682E-09                                  0.00000E+00                                  0.35277E-07
   52.790             0.70621E-09                                  0.00000E+00                                  0.35264E-07
   52.800             0.70561E-09                                  0.00000E+00                                  0.35251E-07
   52.810             0.70500E-09                                  0.00000E+00                                  0.35238E-07
   52.820             0.70439E-09                                  0.00000E+00                                  0.35225E-07
   52.830             0.70378E-09                                  0.00000E+00                                  0.35211E-07
   52.840             0.70318E-09                                  0.00000E+00                                  0.35198E-07
   52.850             0.70257E-09                                  0.00000E+00                                  0.35185E-07
   52.860             0.70196E-09                                  0.00000E+00                                  0.35172E-07
   52.870             0.70136E-09                                  0.00000E+00                                  0.35159E-07
   52.880             0.70075E-09                                  0.00000E+00                                  0.35146E-07
   52.890             0.70015E-09                                  0.00000E+00                                  0.35133E-07
   52.900             0.69955E-09                                  0.00000E+00                                  0.35119E-07
   52.910             0.69894E-09                                  0.00000E+00                                  0.35106E-07
   52.920             0.69834E-09                                  0.00000E+00                                  0.35093E-07
   52.930             0.69774E-09                                  0.00000E+00                                  0.35080E-07
   52.940             0.69714E-09                                  0.00000E+00                                  0.35067E-07
   52.950             0.69654E-09                                  0.00000E+00                                  0.35054E-07
   52.960             0.69594E-09                                  0.00000E+00                                  0.35041E-07
   52.970             0.69534E-09                                  0.00000E+00                                  0.35028E-07
   52.980             0.69474E-09                                  0.00000E+00                                  0.35015E-07
   52.990             0.69414E-09                                  0.00000E+00                                  0.35002E-07
   53.000             0.69354E-09                                  0.00000E+00                                  0.34989E-07
   53.010             0.69294E-09                                  0.00000E+00                                  0.34976E-07
   53.020             0.69234E-09                                  0.00000E+00                                  0.34962E-07
   53.030             0.69175E-09                                  0.00000E+00                                  0.34949E-07
   53.040             0.69115E-09                                  0.00000E+00                                  0.34936E-07
   53.050             0.69055E-09                                  0.00000E+00                                  0.34923E-07
   53.060             0.68996E-09                                  0.00000E+00                                  0.34910E-07
   53.070             0.68936E-09                                  0.00000E+00                                  0.34897E-07
   53.080             0.68877E-09                                  0.00000E+00                                  0.34884E-07
   53.090             0.68818E-09                                  0.00000E+00                                  0.34871E-07
   53.100             0.68758E-09                                  0.00000E+00                                  0.34858E-07
   53.110             0.68699E-09                                  0.00000E+00                                  0.34845E-07
   53.120             0.68640E-09                                  0.00000E+00                                  0.34833E-07
   53.130             0.68581E-09                                  0.00000E+00                                  0.34820E-07
   53.140             0.68522E-09                                  0.00000E+00                                  0.34807E-07
   53.150             0.68462E-09                                  0.00000E+00                                  0.34794E-07
   53.160             0.68403E-09                                  0.00000E+00                                  0.34781E-07
   53.170             0.68344E-09                                  0.00000E+00                                  0.34768E-07
   53.180             0.68285E-09                                  0.00000E+00                                  0.34755E-07
   53.190             0.68227E-09                                  0.00000E+00                                  0.34742E-07
   53.200             0.68168E-09                                  0.00000E+00                                  0.34729E-07
   53.210             0.68109E-09                                  0.00000E+00                                  0.34716E-07
   53.220             0.68050E-09                                  0.00000E+00                                  0.34703E-07
   53.230             0.67992E-09                                  0.00000E+00                                  0.34690E-07
   53.240             0.67933E-09                                  0.00000E+00                                  0.34677E-07
   53.250             0.67874E-09                                  0.00000E+00                                  0.34665E-07
   53.260             0.67816E-09                                  0.00000E+00                                  0.34652E-07
   53.270             0.67757E-09                                  0.00000E+00                                  0.34639E-07
   53.280             0.67699E-09                                  0.00000E+00                                  0.34626E-07
   53.290             0.67641E-09                                  0.00000E+00                                  0.34613E-07
   53.300             0.67582E-09                                  0.00000E+00                                  0.34600E-07
   53.310             0.67524E-09                                  0.00000E+00                                  0.34587E-07
   53.320             0.67466E-09                                  0.00000E+00                                  0.34575E-07
   53.330             0.67408E-09                                  0.00000E+00                                  0.34562E-07
   53.340             0.67349E-09                                  0.00000E+00                                  0.34549E-07
   53.350             0.67291E-09                                  0.00000E+00                                  0.34536E-07
   53.360             0.67233E-09                                  0.00000E+00                                  0.34523E-07
   53.370             0.67175E-09                                  0.00000E+00                                  0.34511E-07
   53.380             0.67117E-09                                  0.00000E+00                                  0.34498E-07
   53.390             0.67060E-09                                  0.00000E+00                                  0.34485E-07
   53.400             0.67002E-09                                  0.00000E+00                                  0.34472E-07
   53.410             0.66944E-09                                  0.00000E+00                                  0.34459E-07
   53.420             0.66886E-09                                  0.00000E+00                                  0.34447E-07
   53.430             0.66829E-09                                  0.00000E+00                                  0.34434E-07
   53.440             0.66771E-09                                  0.00000E+00                                  0.34421E-07
   53.450             0.66713E-09                                  0.00000E+00                                  0.34408E-07
   53.460             0.66656E-09                                  0.00000E+00                                  0.34396E-07
   53.470             0.66598E-09                                  0.00000E+00                                  0.34383E-07
   53.480             0.66541E-09                                  0.00000E+00                                  0.34370E-07
   53.490             0.66483E-09                                  0.00000E+00                                  0.34358E-07
   53.500             0.66426E-09                                  0.00000E+00                                  0.34345E-07
   53.510             0.66369E-09                                  0.00000E+00                                  0.34332E-07
   53.520             0.66312E-09                                  0.00000E+00                                  0.34319E-07
   53.530             0.66254E-09                                  0.00000E+00                                  0.34307E-07
   53.540             0.66197E-09                                  0.00000E+00                                  0.34294E-07
   53.550             0.66140E-09                                  0.00000E+00                                  0.34281E-07
   53.560             0.66083E-09                                  0.00000E+00                                  0.34269E-07
   53.570             0.66026E-09                                  0.00000E+00                                  0.34256E-07
   53.580             0.65969E-09                                  0.00000E+00                                  0.34243E-07
   53.590             0.65912E-09                                  0.00000E+00                                  0.34231E-07
   53.600             0.65855E-09                                  0.00000E+00                                  0.34218E-07
   53.610             0.65799E-09                                  0.00000E+00                                  0.34205E-07
   53.620             0.65742E-09                                  0.00000E+00                                  0.34193E-07
   53.630             0.65685E-09                                  0.00000E+00                                  0.34180E-07
   53.640             0.65629E-09                                  0.00000E+00                                  0.34168E-07
   53.650             0.65572E-09                                  0.00000E+00                                  0.34155E-07
   53.660             0.65515E-09                                  0.00000E+00                                  0.34142E-07
   53.670             0.65459E-09                                  0.00000E+00                                  0.34130E-07
   53.680             0.65402E-09                                  0.00000E+00                                  0.34117E-07
   53.690             0.65346E-09                                  0.00000E+00                                  0.34105E-07
   53.700             0.65290E-09                                  0.00000E+00                                  0.34092E-07
   53.710             0.65233E-09                                  0.00000E+00                                  0.34079E-07
   53.720             0.65177E-09                                  0.00000E+00                                  0.34067E-07
   53.730             0.65121E-09                                  0.00000E+00                                  0.34054E-07
   53.740             0.65065E-09                                  0.00000E+00                                  0.34042E-07
   53.750             0.65008E-09                                  0.00000E+00                                  0.34029E-07
   53.760             0.64952E-09                                  0.00000E+00                                  0.34017E-07
   53.770             0.64896E-09                                  0.00000E+00                                  0.34004E-07
   53.780             0.64840E-09                                  0.00000E+00                                  0.33992E-07
   53.790             0.64784E-09                                  0.00000E+00                                  0.33979E-07
   53.800             0.64729E-09                                  0.00000E+00                                  0.33967E-07
   53.810             0.64673E-09                                  0.00000E+00                                  0.33954E-07
   53.820             0.64617E-09                                  0.00000E+00                                  0.33942E-07
   53.830             0.64561E-09                                  0.00000E+00                                  0.33929E-07
   53.840             0.64505E-09                                  0.00000E+00                                  0.33917E-07
   53.850             0.64450E-09                                  0.00000E+00                                  0.33904E-07
   53.860             0.64394E-09                                  0.00000E+00                                  0.33892E-07
   53.870             0.64339E-09                                  0.00000E+00                                  0.33879E-07
   53.880             0.64283E-09                                  0.00000E+00                                  0.33867E-07
   53.890             0.64228E-09                                  0.00000E+00                                  0.33854E-07
   53.900             0.64172E-09                                  0.00000E+00                                  0.33842E-07
   53.910             0.64117E-09                                  0.00000E+00                                  0.33829E-07
   53.920             0.64062E-09                                  0.00000E+00                                  0.33817E-07
   53.930             0.64006E-09                                  0.00000E+00                                  0.33805E-07
   53.940             0.63951E-09                                  0.00000E+00                                  0.33792E-07
   53.950             0.63896E-09                                  0.00000E+00                                  0.33780E-07
   53.960             0.63841E-09                                  0.00000E+00                                  0.33767E-07
   53.970             0.63786E-09                                  0.00000E+00                                  0.33755E-07
   53.980             0.63731E-09                                  0.00000E+00                                  0.33742E-07
   53.990             0.63676E-09                                  0.00000E+00                                  0.33730E-07
   54.000             0.63621E-09                                  0.00000E+00                                  0.33718E-07
   54.010             0.63566E-09                                  0.00000E+00                                  0.33705E-07
   54.020             0.63511E-09                                  0.00000E+00                                  0.33693E-07
   54.030             0.63456E-09                                  0.00000E+00                                  0.33681E-07
   54.040             0.63401E-09                                  0.00000E+00                                  0.33668E-07
   54.050             0.63347E-09                                  0.00000E+00                                  0.33656E-07
   54.060             0.63292E-09                                  0.00000E+00                                  0.33644E-07
   54.070             0.63237E-09                                  0.00000E+00                                  0.33631E-07
   54.080             0.63183E-09                                  0.00000E+00                                  0.33619E-07
   54.090             0.63128E-09                                  0.00000E+00                                  0.33607E-07
   54.100             0.63074E-09                                  0.00000E+00                                  0.33594E-07
   54.110             0.63019E-09                                  0.00000E+00                                  0.33582E-07
   54.120             0.62965E-09                                  0.00000E+00                                  0.33570E-07
   54.130             0.62911E-09                                  0.00000E+00                                  0.33557E-07
   54.140             0.62856E-09                                  0.00000E+00                                  0.33545E-07
   54.150             0.62802E-09                                  0.00000E+00                                  0.33533E-07
   54.160             0.62748E-09                                  0.00000E+00                                  0.33520E-07
   54.170             0.62694E-09                                  0.00000E+00                                  0.33508E-07
   54.180             0.62640E-09                                  0.00000E+00                                  0.33496E-07
   54.190             0.62585E-09                                  0.00000E+00                                  0.33484E-07
   54.200             0.62531E-09                                  0.00000E+00                                  0.33471E-07
   54.210             0.62477E-09                                  0.00000E+00                                  0.33459E-07
   54.220             0.62424E-09                                  0.00000E+00                                  0.33447E-07
   54.230             0.62370E-09                                  0.00000E+00                                  0.33435E-07
   54.240             0.62316E-09                                  0.00000E+00                                  0.33422E-07
   54.250             0.62262E-09                                  0.00000E+00                                  0.33410E-07
   54.260             0.62208E-09                                  0.00000E+00                                  0.33398E-07
   54.270             0.62155E-09                                  0.00000E+00                                  0.33386E-07
   54.280             0.62101E-09                                  0.00000E+00                                  0.33374E-07
   54.290             0.62047E-09                                  0.00000E+00                                  0.33361E-07
   54.300             0.61994E-09                                  0.00000E+00                                  0.33349E-07
   54.310             0.61940E-09                                  0.00000E+00                                  0.33337E-07
   54.320             0.61887E-09                                  0.00000E+00                                  0.33325E-07
   54.330             0.61833E-09                                  0.00000E+00                                  0.33313E-07
   54.340             0.61780E-09                                  0.00000E+00                                  0.33301E-07
   54.350             0.61727E-09                                  0.00000E+00                                  0.33288E-07
   54.360             0.61673E-09                                  0.00000E+00                                  0.33276E-07
   54.370             0.61620E-09                                  0.00000E+00                                  0.33264E-07
   54.380             0.61567E-09                                  0.00000E+00                                  0.33252E-07
   54.390             0.61514E-09                                  0.00000E+00                                  0.33240E-07
   54.400             0.61461E-09                                  0.00000E+00                                  0.33228E-07
   54.410             0.61407E-09                                  0.00000E+00                                  0.33216E-07
   54.420             0.61354E-09                                  0.00000E+00                                  0.33203E-07
   54.430             0.61301E-09                                  0.00000E+00                                  0.33191E-07
   54.440             0.61249E-09                                  0.00000E+00                                  0.33179E-07
   54.450             0.61196E-09                                  0.00000E+00                                  0.33167E-07
   54.460             0.61143E-09                                  0.00000E+00                                  0.33155E-07
   54.470             0.61090E-09                                  0.00000E+00                                  0.33143E-07
   54.480             0.61037E-09                                  0.00000E+00                                  0.33131E-07
   54.490             0.60985E-09                                  0.00000E+00                                  0.33119E-07
   54.500             0.60932E-09                                  0.00000E+00                                  0.33107E-07
   54.510             0.60879E-09                                  0.00000E+00                                  0.33095E-07
   54.520             0.60827E-09                                  0.00000E+00                                  0.33083E-07
   54.530             0.60774E-09                                  0.00000E+00                                  0.33071E-07
   54.540             0.60722E-09                                  0.00000E+00                                  0.33059E-07
   54.550             0.60669E-09                                  0.00000E+00                                  0.33047E-07
   54.560             0.60617E-09                                  0.00000E+00                                  0.33034E-07
   54.570             0.60564E-09                                  0.00000E+00                                  0.33022E-07
   54.580             0.60512E-09                                  0.00000E+00                                  0.33010E-07
   54.590             0.60460E-09                                  0.00000E+00                                  0.32998E-07
   54.600             0.60408E-09                                  0.00000E+00                                  0.32986E-07
   54.610             0.60355E-09                                  0.00000E+00                                  0.32974E-07
   54.620             0.60303E-09                                  0.00000E+00                                  0.32962E-07
   54.630             0.60251E-09                                  0.00000E+00                                  0.32950E-07
   54.640             0.60199E-09                                  0.00000E+00                                  0.32939E-07
   54.650             0.60147E-09                                  0.00000E+00                                  0.32927E-07
   54.660             0.60095E-09                                  0.00000E+00                                  0.32915E-07
   54.670             0.60043E-09                                  0.00000E+00                                  0.32903E-07
   54.680             0.59991E-09                                  0.00000E+00                                  0.32891E-07
   54.690             0.59940E-09                                  0.00000E+00                                  0.32879E-07
   54.700             0.59888E-09                                  0.00000E+00                                  0.32867E-07
   54.710             0.59836E-09                                  0.00000E+00                                  0.32855E-07
   54.720             0.59784E-09                                  0.00000E+00                                  0.32843E-07
   54.730             0.59733E-09                                  0.00000E+00                                  0.32831E-07
   54.740             0.59681E-09                                  0.00000E+00                                  0.32819E-07
   54.750             0.59630E-09                                  0.00000E+00                                  0.32807E-07
   54.760             0.59578E-09                                  0.00000E+00                                  0.32795E-07
   54.770             0.59527E-09                                  0.00000E+00                                  0.32783E-07
   54.780             0.59475E-09                                  0.00000E+00                                  0.32771E-07
   54.790             0.59424E-09                                  0.00000E+00                                  0.32760E-07
   54.800             0.59372E-09                                  0.00000E+00                                  0.32748E-07
   54.810             0.59321E-09                                  0.00000E+00                                  0.32736E-07
   54.820             0.59270E-09                                  0.00000E+00                                  0.32724E-07
   54.830             0.59219E-09                                  0.00000E+00                                  0.32712E-07
   54.840             0.59167E-09                                  0.00000E+00                                  0.32700E-07
   54.850             0.59116E-09                                  0.00000E+00                                  0.32688E-07
   54.860             0.59065E-09                                  0.00000E+00                                  0.32677E-07
