Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
    1.550             0.93366E-05                                  0.33552E-07                                  0.17996E-04
    1.560             0.92005E-05                                  0.32818E-07                                  0.17800E-04
    1.570             0.90672E-05                                  0.32104E-07                                  0.17608E-04
    1.580             0.89366E-05                                  0.31410E-07                                  0.17418E-04
    1.590             0.88088E-05                                  0.30734E-07                                  0.17232E-04
    1.600             0.86835E-05                                  0.30077E-07                                  0.17049E-04
    1.610             0.85607E-05                                  0.29438E-07                                  0.16869E-04
    1.620             0.84405E-05                                  0.28816E-07                                  0.16692E-04
    1.630             0.83226E-05                                  0.28211E-07                                  0.16518E-04
    1.640             0.82070E-05                                  0.27622E-07                                  0.16347E-04
    1.650             0.80938E-05                                  0.27048E-07                                  0.16178E-04
    1.660             0.79828E-05                                  0.26490E-07                                  0.16013E-04
    1.670             0.78739E-05                                  0.25946E-07                                  0.15850E-04
    1.680             0.77671E-05                                  0.25416E-07                                  0.15689E-04
    1.690             0.76624E-05                                  0.24900E-07                                  0.15531E-04
    1.700             0.75598E-05                                  0.24398E-07                                  0.15376E-04
    1.710             0.74590E-05                                  0.23908E-07                                  0.15223E-04
    1.720             0.73602E-05                                  0.23430E-07                                  0.15073E-04
    1.730             0.72632E-05                                  0.22965E-07                                  0.14924E-04
    1.740             0.71681E-05                                  0.22511E-07                                  0.14779E-04
    1.750             0.70747E-05                                  0.22069E-07                                  0.14635E-04
    1.760             0.69831E-05                                  0.21637E-07                                  0.14494E-04
    1.770             0.68931E-05                                  0.21217E-07                                  0.14354E-04
    1.780             0.68048E-05                                  0.20806E-07                                  0.14217E-04
    1.790             0.67181E-05                                  0.20406E-07                                  0.14082E-04
    1.800             0.66330E-05                                  0.20016E-07                                  0.13949E-04
    1.810             0.65494E-05                                  0.19635E-07                                  0.13818E-04
    1.820             0.64673E-05                                  0.19263E-07                                  0.13689E-04
    1.830             0.63866E-05                                  0.18900E-07                                  0.13562E-04
    1.840             0.63074E-05                                  0.18545E-07                                  0.13436E-04
    1.850             0.62296E-05                                  0.18199E-07                                  0.13313E-04
    1.860             0.61532E-05                                  0.17862E-07                                  0.13191E-04
    1.870             0.60780E-05                                  0.17532E-07                                  0.13071E-04
    1.880             0.60042E-05                                  0.17209E-07                                  0.12952E-04
    1.890             0.59317E-05                                  0.16895E-07                                  0.12836E-04
    1.900             0.58604E-05                                  0.16587E-07                                  0.12721E-04
    1.910             0.57903E-05                                  0.16287E-07                                  0.12608E-04
    1.920             0.57214E-05                                  0.15993E-07                                  0.12496E-04
    1.930             0.56537E-05                                  0.15707E-07                                  0.12386E-04
    1.940             0.55871E-05                                  0.15426E-07                                  0.12277E-04
    1.950             0.55217E-05                                  0.15152E-07                                  0.12170E-04
    1.960             0.54573E-05                                  0.14884E-07                                  0.12064E-04
    1.970             0.53940E-05                                  0.14623E-07                                  0.11960E-04
    1.980             0.53317E-05                                  0.14367E-07                                  0.11857E-04
    1.990             0.52705E-05                                  0.14116E-07                                  0.11756E-04
    2.000             0.52102E-05                                  0.13871E-07                                  0.11656E-04
    2.010             0.51509E-05                                  0.13632E-07                                  0.11557E-04
    2.020             0.50926E-05                                  0.13397E-07                                  0.11460E-04
    2.030             0.50353E-05                                  0.13168E-07                                  0.11363E-04
    2.040             0.49788E-05                                  0.12944E-07                                  0.11269E-04
    2.050             0.49232E-05                                  0.12724E-07                                  0.11175E-04
    2.060             0.48686E-05                                  0.12510E-07                                  0.11083E-04
    2.070             0.48148E-05                                  0.12299E-07                                  0.10992E-04
    2.080             0.47618E-05                                  0.12094E-07                                  0.10902E-04
    2.090             0.47096E-05                                  0.11892E-07                                  0.10813E-04
    2.100             0.46583E-05                                  0.11695E-07                                  0.10725E-04
    2.110             0.46078E-05                                  0.11502E-07                                  0.10639E-04
    2.120             0.45580E-05                                  0.11313E-07                                  0.10553E-04
    2.130             0.45090E-05                                  0.11128E-07                                  0.10469E-04
    2.140             0.44608E-05                                  0.10946E-07                                  0.10385E-04
    2.150             0.44133E-05                                  0.10769E-07                                  0.10303E-04
    2.160             0.43665E-05                                  0.10595E-07                                  0.10222E-04
    2.170             0.43204E-05                                  0.10424E-07                                  0.10142E-04
    2.180             0.42750E-05                                  0.10257E-07                                  0.10062E-04
    2.190             0.42303E-05                                  0.10094E-07                                  0.99842E-05
    2.200             0.41862E-05                                  0.99334E-08                                  0.99069E-05
    2.210             0.41428E-05                                  0.97763E-08                                  0.98305E-05
    2.220             0.41000E-05                                  0.96223E-08                                  0.97551E-05
    2.230             0.40579E-05                                  0.94714E-08                                  0.96806E-05
    2.240             0.40164E-05                                  0.93234E-08                                  0.96069E-05
    2.250             0.39754E-05                                  0.91783E-08                                  0.95342E-05
    2.260             0.39351E-05                                  0.90361E-08                                  0.94623E-05
    2.270             0.38953E-05                                  0.88967E-08                                  0.93913E-05
    2.280             0.38562E-05                                  0.87599E-08                                  0.93211E-05
    2.290             0.38175E-05                                  0.86258E-08                                  0.92518E-05
    2.300             0.37795E-05                                  0.84943E-08                                  0.91832E-05
    2.310             0.37419E-05                                  0.83653E-08                                  0.91155E-05
    2.320             0.37049E-05                                  0.82387E-08                                  0.90485E-05
    2.330             0.36684E-05                                  0.81146E-08                                  0.89823E-05
    2.340             0.36325E-05                                  0.79928E-08                                  0.89169E-05
    2.350             0.35970E-05                                  0.78733E-08                                  0.88523E-05
    2.360             0.35620E-05                                  0.77561E-08                                  0.87883E-05
    2.370             0.35275E-05                                  0.76410E-08                                  0.87251E-05
    2.380             0.34935E-05                                  0.75281E-08                                  0.86627E-05
    2.390             0.34599E-05                                  0.74173E-08                                  0.86009E-05
    2.400             0.34268E-05                                  0.73085E-08                                  0.85398E-05
    2.410             0.33941E-05                                  0.72018E-08                                  0.84794E-05
    2.420             0.33619E-05                                  0.70970E-08                                  0.84197E-05
    2.430             0.33301E-05                                  0.69941E-08                                  0.83606E-05
    2.440             0.32988E-05                                  0.68930E-08                                  0.83022E-05
    2.450             0.32679E-05                                  0.67938E-08                                  0.82444E-05
    2.460             0.32373E-05                                  0.66964E-08                                  0.81873E-05
    2.470             0.32072E-05                                  0.66008E-08                                  0.81308E-05
    2.480             0.31775E-05                                  0.65069E-08                                  0.80749E-05
    2.490             0.31482E-05                                  0.64146E-08                                  0.80196E-05
    2.500             0.31192E-05                                  0.63240E-08                                  0.79649E-05
    2.510             0.30906E-05                                  0.62350E-08                                  0.79108E-05
    2.520             0.30624E-05                                  0.61475E-08                                  0.78572E-05
    2.530             0.30346E-05                                  0.60616E-08                                  0.78043E-05
    2.540             0.30071E-05                                  0.59772E-08                                  0.77519E-05
    2.550             0.29800E-05                                  0.58943E-08                                  0.77001E-05
    2.560             0.29532E-05                                  0.58128E-08                                  0.76488E-05
    2.570             0.29268E-05                                  0.57327E-08                                  0.75980E-05
    2.580             0.29007E-05                                  0.56540E-08                                  0.75478E-05
    2.590             0.28749E-05                                  0.55766E-08                                  0.74981E-05
    2.600             0.28495E-05                                  0.55006E-08                                  0.74489E-05
    2.610             0.28243E-05                                  0.54259E-08                                  0.74002E-05
    2.620             0.27995E-05                                  0.53525E-08                                  0.73520E-05
    2.630             0.27750E-05                                  0.52802E-08                                  0.73043E-05
    2.640             0.27508E-05                                  0.52093E-08                                  0.72571E-05
    2.650             0.27269E-05                                  0.51395E-08                                  0.72104E-05
    2.660             0.27033E-05                                  0.50708E-08                                  0.71642E-05
    2.670             0.26800E-05                                  0.50034E-08                                  0.71184E-05
    2.680             0.26570E-05                                  0.49370E-08                                  0.70731E-05
    2.690             0.26342E-05                                  0.48717E-08                                  0.70282E-05
    2.700             0.26117E-05                                  0.48076E-08                                  0.69838E-05
    2.710             0.25895E-05                                  0.47444E-08                                  0.69399E-05
    2.720             0.25676E-05                                  0.46824E-08                                  0.68963E-05
