Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
    3.970             24.869                           38.072                           14.924
    3.980             24.876                           38.082                           14.928
    3.990             24.882                           38.092                           14.932
    4.000             24.889                           38.103                           14.936
    4.010             24.895                           38.113                           14.940
    4.020             24.902                           38.123                           14.944
    4.030             24.908                           38.133                           14.948
    4.040             24.915                           38.143                           14.952
    4.050             24.921                           38.152                           14.956
    4.060             24.928                           38.162                           14.960
    4.070             24.934                           38.172                           14.964
    4.080             24.941                           38.182                           14.967
    4.090             24.947                           38.192                           14.971
    4.100             24.954                           38.202                           14.975
    4.110             24.960                           38.212                           14.979
    4.120             24.966                           38.221                           14.983
    4.130             24.973                           38.231                           14.987
    4.140             24.979                           38.241                           14.990
    4.150             24.985                           38.251                           14.994
    4.160             24.992                           38.260                           14.998
    4.170             24.998                           38.270                           15.002
    4.180             25.004                           38.280                           15.006
    4.190             25.011                           38.289                           15.009
    4.200             25.017                           38.299                           15.013
    4.210             25.023                           38.308                           15.017
    4.220             25.029                           38.318                           15.021
    4.230             25.036                           38.327                           15.024
    4.240             25.042                           38.337                           15.028
    4.250             25.048                           38.346                           15.032
    4.260             25.054                           38.356                           15.035
    4.270             25.060                           38.365                           15.039
    4.280             25.066                           38.375                           15.043
    4.290             25.073                           38.384                           15.047
    4.300             25.079                           38.393                           15.050
    4.310             25.085                           38.403                           15.054
    4.320             25.091                           38.412                           15.058
    4.330             25.097                           38.421                           15.061
    4.340             25.103                           38.431                           15.065
    4.350             25.109                           38.440                           15.068
    4.360             25.115                           38.449                           15.072
    4.370             25.121                           38.458                           15.076
    4.380             25.127                           38.467                           15.079
    4.390             25.133                           38.477                           15.083
    4.400             25.139                           38.486                           15.086
    4.410             25.145                           38.495                           15.090
    4.420             25.151                           38.504                           15.094
    4.430             25.157                           38.513                           15.097
    4.440             25.163                           38.522                           15.101
    4.450             25.169                           38.531                           15.104
    4.460             25.175                           38.540                           15.108
    4.470             25.180                           38.549                           15.111
    4.480             25.186                           38.558                           15.115
    4.490             25.192                           38.567                           15.118
    4.500             25.198                           38.576                           15.122
    4.510             25.204                           38.585                           15.125
    4.520             25.210                           38.594                           15.129
    4.530             25.216                           38.603                           15.132
    4.540             25.221                           38.612                           15.136
    4.550             25.227                           38.621                           15.139
    4.560             25.233                           38.629                           15.143
    4.570             25.239                           38.638                           15.146
    4.580             25.244                           38.647                           15.150
    4.590             25.250                           38.656                           15.153
    4.600             25.256                           38.664                           15.157
    4.610             25.261                           38.673                           15.160
    4.620             25.267                           38.682                           15.163
    4.630             25.273                           38.691                           15.167
    4.640             25.279                           38.699                           15.170
    4.650             25.284                           38.708                           15.174
    4.660             25.290                           38.717                           15.177
    4.670             25.295                           38.725                           15.180
    4.680             25.301                           38.734                           15.184
