Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
   56.050             31.822                           48.717                           19.097
   56.060             31.823                           48.718                           19.097
   56.070             31.823                           48.719                           19.098
   56.080             31.824                           48.719                           19.098
   56.090             31.824                           48.720                           19.098
   56.100             31.825                           48.721                           19.099
   56.110             31.825                           48.721                           19.099
   56.120             31.825                           48.722                           19.099
   56.130             31.826                           48.723                           19.099
   56.140             31.826                           48.724                           19.100
   56.150             31.827                           48.724                           19.100
   56.160             31.827                           48.725                           19.100
   56.170             31.828                           48.726                           19.101
   56.180             31.828                           48.726                           19.101
   56.190             31.829                           48.727                           19.101
   56.200             31.829                           48.728                           19.101
   56.210             31.830                           48.729                           19.102
   56.220             31.830                           48.729                           19.102
   56.230             31.831                           48.730                           19.102
   56.240             31.831                           48.731                           19.102
   56.250             31.832                           48.731                           19.103
   56.260             31.832                           48.732                           19.103
   56.270             31.833                           48.733                           19.103
   56.280             31.833                           48.734                           19.104
   56.290             31.833                           48.734                           19.104
   56.300             31.834                           48.735                           19.104
   56.310             31.834                           48.736                           19.104
   56.320             31.835                           48.736                           19.105
   56.330             31.835                           48.737                           19.105
   56.340             31.836                           48.738                           19.105
   56.350             31.836                           48.739                           19.106
   56.360             31.837                           48.739                           19.106
   56.370             31.837                           48.740                           19.106
   56.380             31.838                           48.741                           19.106
   56.390             31.838                           48.741                           19.107
   56.400             31.839                           48.742                           19.107
   56.410             31.839                           48.743                           19.107
   56.420             31.839                           48.744                           19.108
   56.430             31.840                           48.744                           19.108
   56.440             31.840                           48.745                           19.108
   56.450             31.841                           48.746                           19.108
   56.460             31.841                           48.746                           19.109
   56.470             31.842                           48.747                           19.109
   56.480             31.842                           48.748                           19.109
   56.490             31.843                           48.749                           19.109
   56.500             31.843                           48.749                           19.110
   56.510             31.844                           48.750                           19.110
   56.520             31.844                           48.751                           19.110
   56.530             31.845                           48.751                           19.111
   56.540             31.845                           48.752                           19.111
   56.550             31.846                           48.753                           19.111
   56.560             31.846                           48.754                           19.111
   56.570             31.846                           48.754                           19.112
   56.580             31.847                           48.755                           19.112
   56.590             31.847                           48.756                           19.112
   56.600             31.848                           48.756                           19.113
   56.610             31.848                           48.757                           19.113
   56.620             31.849                           48.758                           19.113
   56.630             31.849                           48.759                           19.113
   56.640             31.850                           48.759                           19.114
   56.650             31.850                           48.760                           19.114
   56.660             31.851                           48.761                           19.114
   56.670             31.851                           48.761                           19.114
   56.680             31.852                           48.762                           19.115
   56.690             31.852                           48.763                           19.115
   56.700             31.852                           48.763                           19.115
   56.710             31.853                           48.764                           19.116
   56.720             31.853                           48.765                           19.116
   56.730             31.854                           48.766                           19.116
   56.740             31.854                           48.766                           19.116
   56.750             31.855                           48.767                           19.117
   56.760             31.855                           48.768                           19.117
   56.770             31.856                           48.768                           19.117
   56.780             31.856                           48.769                           19.118
   56.790             31.857                           48.770                           19.118
   56.800             31.857                           48.771                           19.118
   56.810             31.858                           48.771                           19.118
   56.820             31.858                           48.772                           19.119
   56.830             31.859                           48.773                           19.119
   56.840             31.859                           48.773                           19.119
   56.850             31.859                           48.774                           19.119
   56.860             31.860                           48.775                           19.120
   56.870             31.860                           48.776                           19.120
   56.880             31.861                           48.776                           19.120
   56.890             31.861                           48.777                           19.121
   56.900             31.862                           48.778                           19.121
   56.910             31.862                           48.778                           19.121
   56.920             31.863                           48.779                           19.121
   56.930             31.863                           48.780                           19.122
   56.940             31.864                           48.780                           19.122
   56.950             31.864                           48.781                           19.122
   56.960             31.865                           48.782                           19.123
   56.970             31.865                           48.783                           19.123
   56.980             31.865                           48.783                           19.123
   56.990             31.866                           48.784                           19.123
   57.000             31.866                           48.785                           19.124
   57.010             31.867                           48.785                           19.124
   57.020             31.867                           48.786                           19.124
   57.030             31.868                           48.787                           19.124
   57.040             31.868                           48.788                           19.125
   57.050             31.869                           48.788                           19.125
   57.060             31.869                           48.789                           19.125
   57.070             31.870                           48.790                           19.126
   57.080             31.870                           48.790                           19.126
   57.090             31.871                           48.791                           19.126
   57.100             31.871                           48.792                           19.126
   57.110             31.871                           48.792                           19.127
   57.120             31.872                           48.793                           19.127
   57.130             31.872                           48.794                           19.127
   57.140             31.873                           48.795                           19.128
   57.150             31.873                           48.795                           19.128
   57.160             31.874                           48.796                           19.128
   57.170             31.874                           48.797                           19.128
   57.180             31.875                           48.797                           19.129
   57.190             31.875                           48.798                           19.129
   57.200             31.876                           48.799                           19.129
   57.210             31.876                           48.799                           19.129
   57.220             31.876                           48.800                           19.130
   57.230             31.877                           48.801                           19.130
   57.240             31.877                           48.802                           19.130
   57.250             31.878                           48.802                           19.131
   57.260             31.878                           48.803                           19.131
   57.270             31.879                           48.804                           19.131
   57.280             31.879                           48.804                           19.131
   57.290             31.880                           48.805                           19.132
   57.300             31.880                           48.806                           19.132
   57.310             31.881                           48.807                           19.132
   57.320             31.881                           48.807                           19.132
   57.330             31.882                           48.808                           19.133
   57.340             31.882                           48.809                           19.133
   57.350             31.882                           48.809                           19.133
   57.360             31.883                           48.810                           19.134
   57.370             31.883                           48.811                           19.134
   57.380             31.884                           48.811                           19.134
   57.390             31.884                           48.812                           19.134
   57.400             31.885                           48.813                           19.135
   57.410             31.885                           48.814                           19.135
   57.420             31.886                           48.814                           19.135
   57.430             31.886                           48.815                           19.135
   57.440             31.887                           48.816                           19.136
   57.450             31.887                           48.816                           19.136
   57.460             31.887                           48.817                           19.136
   57.470             31.888                           48.818                           19.137
   57.480             31.888                           48.818                           19.137
   57.490             31.889                           48.819                           19.137
   57.500             31.889                           48.820                           19.137
   57.510             31.890                           48.821                           19.138
   57.520             31.890                           48.821                           19.138
   57.530             31.891                           48.822                           19.138
   57.540             31.891                           48.823                           19.138
   57.550             31.892                           48.823                           19.139
   57.560             31.892                           48.824                           19.139
   57.570             31.892                           48.825                           19.139
   57.580             31.893                           48.825                           19.140
   57.590             31.893                           48.826                           19.140
   57.600             31.894                           48.827                           19.140
   57.610             31.894                           48.828                           19.140
   57.620             31.895                           48.828                           19.141
   57.630             31.895                           48.829                           19.141
   57.640             31.896                           48.830                           19.141
   57.650             31.896                           48.830                           19.142
   57.660             31.897                           48.831                           19.142
   57.670             31.897                           48.832                           19.142
   57.680             31.898                           48.832                           19.142
   57.690             31.898                           48.833                           19.143
   57.700             31.898                           48.834                           19.143
   57.710             31.899                           48.834                           19.143
   57.720             31.899                           48.835                           19.143
   57.730             31.900                           48.836                           19.144
   57.740             31.900                           48.837                           19.144
   57.750             31.901                           48.837                           19.144
   57.760             31.901                           48.838                           19.145
   57.770             31.902                           48.839                           19.145
   57.780             31.902                           48.839                           19.145
   57.790             31.903                           48.840                           19.145
   57.800             31.903                           48.841                           19.146
   57.810             31.903                           48.841                           19.146
   57.820             31.904                           48.842                           19.146
   57.830             31.904                           48.843                           19.146
   57.840             31.905                           48.844                           19.147
   57.850             31.905                           48.844                           19.147
   57.860             31.906                           48.845                           19.147
   57.870             31.906                           48.846                           19.148
   57.880             31.907                           48.846                           19.148
   57.890             31.907                           48.847                           19.148
   57.900             31.908                           48.848                           19.148
   57.910             31.908                           48.848                           19.149
   57.920             31.908                           48.849                           19.149
   57.930             31.909                           48.850                           19.149
   57.940             31.909                           48.850                           19.149
   57.950             31.910                           48.851                           19.150
   57.960             31.910                           48.852                           19.150
   57.970             31.911                           48.853                           19.150
   57.980             31.911                           48.853                           19.151
   57.990             31.912                           48.854                           19.151
   58.000             31.912                           48.855                           19.151
   58.010             31.912                           48.855                           19.151
   58.020             31.913                           48.856                           19.152
   58.030             31.913                           48.857                           19.152
   58.040             31.914                           48.857                           19.152
   58.050             31.914                           48.858                           19.152
   58.060             31.915                           48.859                           19.153
   58.070             31.915                           48.859                           19.153
   58.080             31.916                           48.860                           19.153
   58.090             31.916                           48.861                           19.153
   58.100             31.917                           48.862                           19.154
   58.110             31.917                           48.862                           19.154
   58.120             31.917                           48.863                           19.154
   58.130             31.918                           48.864                           19.155
   58.140             31.918                           48.864                           19.155
   58.150             31.919                           48.865                           19.155
   58.160             31.919                           48.866                           19.155
   58.170             31.920                           48.866                           19.156
   58.180             31.920                           48.867                           19.156
   58.190             31.921                           48.868                           19.156
   58.200             31.921                           48.868                           19.156
   58.210             31.922                           48.869                           19.157
   58.220             31.922                           48.870                           19.157
   58.230             31.922                           48.871                           19.157
   58.240             31.923                           48.871                           19.158
   58.250             31.923                           48.872                           19.158
   58.260             31.924                           48.873                           19.158
   58.270             31.924                           48.873                           19.158
   58.280             31.925                           48.874                           19.159
   58.290             31.925                           48.875                           19.159
   58.300             31.926                           48.875                           19.159
   58.310             31.926                           48.876                           19.159
   58.320             31.926                           48.877                           19.160
   58.330             31.927                           48.877                           19.160
   58.340             31.927                           48.878                           19.160
   58.350             31.928                           48.879                           19.161
   58.360             31.928                           48.880                           19.161
   58.370             31.929                           48.880                           19.161
   58.380             31.929                           48.881                           19.161
   58.390             31.930                           48.882                           19.162
   58.400             31.930                           48.882                           19.162
   58.410             31.931                           48.883                           19.162
   58.420             31.931                           48.884                           19.162
   58.430             31.931                           48.884                           19.163
   58.440             31.932                           48.885                           19.163
   58.450             31.932                           48.886                           19.163
   58.460             31.933                           48.886                           19.163
   58.470             31.933                           48.887                           19.164
   58.480             31.934                           48.888                           19.164
   58.490             31.934                           48.888                           19.164
   58.500             31.935                           48.889                           19.165
   58.510             31.935                           48.890                           19.165
   58.520             31.935                           48.891                           19.165
   58.530             31.936                           48.891                           19.165
   58.540             31.936                           48.892                           19.166
   58.550             31.937                           48.893                           19.166
   58.560             31.937                           48.893                           19.166
   58.570             31.938                           48.894                           19.166
   58.580             31.938                           48.895                           19.167
   58.590             31.939                           48.895                           19.167
   58.600             31.939                           48.896                           19.167
   58.610             31.940                           48.897                           19.168
   58.620             31.940                           48.897                           19.168
   58.630             31.940                           48.898                           19.168
   58.640             31.941                           48.899                           19.168
   58.650             31.941                           48.899                           19.169
   58.660             31.942                           48.900                           19.169
   58.670             31.942                           48.901                           19.169
   58.680             31.943                           48.902                           19.169
   58.690             31.943                           48.902                           19.170
   58.700             31.944                           48.903                           19.170
   58.710             31.944                           48.904                           19.170
   58.720             31.944                           48.904                           19.170
   58.730             31.945                           48.905                           19.171
   58.740             31.945                           48.906                           19.171
   58.750             31.946                           48.906                           19.171
   58.760             31.946                           48.907                           19.172
   58.770             31.947                           48.908                           19.172
   58.780             31.947                           48.908                           19.172
   58.790             31.948                           48.909                           19.172
   58.800             31.948                           48.910                           19.173
   58.810             31.948                           48.910                           19.173
   58.820             31.949                           48.911                           19.173
   58.830             31.949                           48.912                           19.173
   58.840             31.950                           48.912                           19.174
   58.850             31.950                           48.913                           19.174
   58.860             31.951                           48.914                           19.174
   58.870             31.951                           48.915                           19.175
   58.880             31.952                           48.915                           19.175
   58.890             31.952                           48.916                           19.175
   58.900             31.952                           48.917                           19.175
   58.910             31.953                           48.917                           19.176
   58.920             31.953                           48.918                           19.176
   58.930             31.954                           48.919                           19.176
   58.940             31.954                           48.919                           19.176
   58.950             31.955                           48.920                           19.177
   58.960             31.955                           48.921                           19.177
   58.970             31.956                           48.921                           19.177
   58.980             31.956                           48.922                           19.177
   58.990             31.956                           48.923                           19.178
   59.000             31.957                           48.923                           19.178
   59.010             31.957                           48.924                           19.178
   59.020             31.958                           48.925                           19.179
   59.030             31.958                           48.925                           19.179
   59.040             31.959                           48.926                           19.179
   59.050             31.959                           48.927                           19.179
   59.060             31.960                           48.927                           19.180
   59.070             31.960                           48.928                           19.180
   59.080             31.960                           48.929                           19.180
   59.090             31.961                           48.929                           19.180
   59.100             31.961                           48.930                           19.181
   59.110             31.962                           48.931                           19.181
   59.120             31.962                           48.932                           19.181
   59.130             31.963                           48.932                           19.181
   59.140             31.963                           48.933                           19.182
   59.150             31.964                           48.934                           19.182
   59.160             31.964                           48.934                           19.182
   59.170             31.964                           48.935                           19.183
   59.180             31.965                           48.936                           19.183
   59.190             31.965                           48.936                           19.183
   59.200             31.966                           48.937                           19.183
   59.210             31.966                           48.938                           19.184
   59.220             31.967                           48.938                           19.184
   59.230             31.967                           48.939                           19.184
   59.240             31.968                           48.940                           19.184
   59.250             31.968                           48.940                           19.185
   59.260             31.968                           48.941                           19.185
   59.270             31.969                           48.942                           19.185
   59.280             31.969                           48.942                           19.185
   59.290             31.970                           48.943                           19.186
   59.300             31.970                           48.944                           19.186
   59.310             31.971                           48.944                           19.186
   59.320             31.971                           48.945                           19.187
   59.330             31.972                           48.946                           19.187
   59.340             31.972                           48.946                           19.187
   59.350             31.972                           48.947                           19.187
   59.360             31.973                           48.948                           19.188
   59.370             31.973                           48.949                           19.188
   59.380             31.974                           48.949                           19.188
   59.390             31.974                           48.950                           19.188
   59.400             31.975                           48.951                           19.189
   59.410             31.975                           48.951                           19.189
   59.420             31.976                           48.952                           19.189
   59.430             31.976                           48.953                           19.189
   59.440             31.976                           48.953                           19.190
   59.450             31.977                           48.954                           19.190
   59.460             31.977                           48.955                           19.190
   59.470             31.978                           48.955                           19.190
   59.480             31.978                           48.956                           19.191
   59.490             31.979                           48.957                           19.191
   59.500             31.979                           48.957                           19.191
   59.510             31.980                           48.958                           19.192
   59.520             31.980                           48.959                           19.192
   59.530             31.980                           48.959                           19.192
   59.540             31.981                           48.960                           19.192
   59.550             31.981                           48.961                           19.193
   59.560             31.982                           48.961                           19.193
   59.570             31.982                           48.962                           19.193
   59.580             31.983                           48.963                           19.193
   59.590             31.983                           48.963                           19.194
   59.600             31.984                           48.964                           19.194
   59.610             31.984                           48.965                           19.194
   59.620             31.984                           48.965                           19.194
   59.630             31.985                           48.966                           19.195
   59.640             31.985                           48.967                           19.195
   59.650             31.986                           48.967                           19.195
   59.660             31.986                           48.968                           19.196
   59.670             31.987                           48.969                           19.196
   59.680             31.987                           48.969                           19.196
   59.690             31.987                           48.970                           19.196
   59.700             31.988                           48.971                           19.197
   59.710             31.988                           48.971                           19.197
   59.720             31.989                           48.972                           19.197
   59.730             31.989                           48.973                           19.197
   59.740             31.990                           48.973                           19.198
   59.750             31.990                           48.974                           19.198
   59.760             31.991                           48.975                           19.198
   59.770             31.991                           48.976                           19.198
   59.780             31.991                           48.976                           19.199
   59.790             31.992                           48.977                           19.199
   59.800             31.992                           48.978                           19.199
   59.810             31.993                           48.978                           19.199
   59.820             31.993                           48.979                           19.200
   59.830             31.994                           48.980                           19.200
   59.840             31.994                           48.980                           19.200
   59.850             31.994                           48.981                           19.201
   59.860             31.995                           48.982                           19.201
   59.870             31.995                           48.982                           19.201
   59.880             31.996                           48.983                           19.201
   59.890             31.996                           48.984                           19.202
   59.900             31.997                           48.984                           19.202
   59.910             31.997                           48.985                           19.202
   59.920             31.998                           48.986                           19.202
   59.930             31.998                           48.986                           19.203
   59.940             31.998                           48.987                           19.203
   59.950             31.999                           48.988                           19.203
   59.960             31.999                           48.988                           19.203
   59.970             32.000                           48.989                           19.204
   59.980             32.000                           48.990                           19.204
   59.990             32.001                           48.990                           19.204
   60.000             32.001                           48.991                           19.204
   60.010             32.002                           48.992                           19.205
   60.020             32.002                           48.992                           19.205
   60.030             32.002                           48.993                           19.205
   60.040             32.003                           48.994                           19.206
   60.050             32.003                           48.994                           19.206
   60.060             32.004                           48.995                           19.206
   60.070             32.004                           48.996                           19.206
   60.080             32.005                           48.996                           19.207
   60.090             32.005                           48.997                           19.207
   60.100             32.005                           48.998                           19.207
   60.110             32.006                           48.998                           19.207
   60.120             32.006                           48.999                           19.208
   60.130             32.007                           49.000                           19.208
   60.140             32.007                           49.000                           19.208
   60.150             32.008                           49.001                           19.208
   60.160             32.008                           49.002                           19.209
   60.170             32.009                           49.002                           19.209
   60.180             32.009                           49.003                           19.209
   60.190             32.009                           49.004                           19.209
   60.200             32.010                           49.004                           19.210
   60.210             32.010                           49.005                           19.210
   60.220             32.011                           49.006                           19.210
   60.230             32.011                           49.006                           19.211
   60.240             32.012                           49.007                           19.211
   60.250             32.012                           49.008                           19.211
   60.260             32.012                           49.008                           19.211
   60.270             32.013                           49.009                           19.212
   60.280             32.013                           49.010                           19.212
   60.290             32.014                           49.010                           19.212
   60.300             32.014                           49.011                           19.212
   60.310             32.015                           49.012                           19.213
   60.320             32.015                           49.012                           19.213
   60.330             32.015                           49.013                           19.213
   60.340             32.016                           49.014                           19.213
   60.350             32.016                           49.014                           19.214
   60.360             32.017                           49.015                           19.214
   60.370             32.017                           49.016                           19.214
   60.380             32.018                           49.016                           19.214
   60.390             32.018                           49.017                           19.215
   60.400             32.019                           49.018                           19.215
   60.410             32.019                           49.018                           19.215
   60.420             32.019                           49.019                           19.215
   60.430             32.020                           49.020                           19.216
   60.440             32.020                           49.020                           19.216
   60.450             32.021                           49.021                           19.216
   60.460             32.021                           49.022                           19.217
   60.470             32.022                           49.022                           19.217
   60.480             32.022                           49.023                           19.217
   60.490             32.022                           49.024                           19.217
   60.500             32.023                           49.024                           19.218
   60.510             32.023                           49.025                           19.218
   60.520             32.024                           49.026                           19.218
   60.530             32.024                           49.026                           19.218
   60.540             32.025                           49.027                           19.219
   60.550             32.025                           49.028                           19.219
   60.560             32.025                           49.028                           19.219
   60.570             32.026                           49.029                           19.219
   60.580             32.026                           49.030                           19.220
   60.590             32.027                           49.030                           19.220
   60.600             32.027                           49.031                           19.220
   60.610             32.028                           49.032                           19.220
   60.620             32.028                           49.032                           19.221
   60.630             32.029                           49.033                           19.221
   60.640             32.029                           49.034                           19.221
   60.650             32.029                           49.034                           19.221
   60.660             32.030                           49.035                           19.222
   60.670             32.030                           49.036                           19.222
   60.680             32.031                           49.036                           19.222
   60.690             32.031                           49.037                           19.223
   60.700             32.032                           49.038                           19.223
   60.710             32.032                           49.038                           19.223
   60.720             32.032                           49.039                           19.223
   60.730             32.033                           49.040                           19.224
   60.740             32.033                           49.040                           19.224
   60.750             32.034                           49.041                           19.224
   60.760             32.034                           49.042                           19.224
   60.770             32.035                           49.042                           19.225
   60.780             32.035                           49.043                           19.225
